Country / Economy,cluster,segment_name,total_commitments,total_disbursed,total_repaid,total_outstanding,num_loans,avg_loan_size,avg_repayment_ratio,avg_risk_score,avg_loan_age,cancellation_rate,active_loans_count
Romania,0,Low Risk Large,18803550000.0,16023045033.5,8682431216.93,7315419207.64,124,151641532.2580645,0.801555237468114,0.11895161290322583,28.348347353778895,1.6129032258064515,13
Poland,0,Low Risk Large,16450600000.0,15188124298.61,9153444345.67,6212699105.2,80,205632500.0,0.8340350555450982,0.135,28.7968514715948,6.25,10
"Korea, Republic Of",0,Low Risk Large,15647000000.0,14918461306.789999,14786946656.1,0.0,127,123204724.40944882,0.9711473397633121,0.015748031496062992,44.00191865133901,1.574803149606299,0
Pakistan,0,Low Risk Large,14583350000.0,10188662028.35,6952738207.37,3202468055.19,133,109649248.12030075,0.740432706625126,0.18947368421052635,37.013437083468425,5.263157894736842,29
Russian Federation,0,Low Risk Large,14451100000.0,10469215928.28,10469215928.28,0.0,85,170012941.17647058,0.9294117647058824,0.06235294117647058,27.737424004509403,4.705882352941177,2
Tunisia,0,Low Risk Large,13839030000.0,11029352932.27,6359167225.71,4820969239.88,251,55135577.689243026,0.7827024079194903,0.14163346613545819,32.674623886384644,0.796812749003984,43
Jordan,0,Low Risk Large,12989200000.0,10117402964.69,3146320001.22,6959552546.42,115,112949565.2173913,0.6178642057971886,0.2808695652173913,24.165937565098353,4.3478260869565215,44
Ecuador,0,Low Risk Large,12565580000.0,10633799161.61,2582110641.61,8048475684.28,154,81594675.32467532,0.6725323759233202,0.2087662337662338,31.224797105700596,2.5974025974025974,21
Kazakhstan,0,Low Risk Large,11874442440.0,9033957222.47,5113217162.72,3920740059.75,55,215898953.45454547,0.7370626584564519,0.21272727272727274,19.695750108891794,1.8181818181818181,18
South Africa,0,Low Risk Large,11079120000.0,7093047080.09,1230988919.31,5699499413.95,23,481700869.5652174,0.29554793206705954,0.24130434782608698,37.34642740231527,0.0,6
Nigeria,0,Low Risk Large,10342200000.0,6969064690.93,5340276673.67,1611961266.7,94,110023404.25531915,0.8888012167515291,0.06276595744680852,41.93088383066102,0.0,6
Angola,0,Low Risk Large,10031000000.0,6186088503.66,259261258.92000002,5926827244.74,37,271108108.1081081,0.04103811440232531,0.6310810810810812,5.134876149249865,0.0,31
Thailand,0,Low Risk Large,9793900000.0,8151817580.48,7633992753.24,332800000.0,134,73088805.97014925,0.8979235026473658,0.04029850746268657,43.70061397325488,2.2388059701492535,1
Serbia,0,Low Risk Large,8025294507.9,6221286008.34,3984292062.43,2235636665.48,115,69785169.63391304,0.6850801290182605,0.23782608695652177,29.79064964437699,1.7391304347826086,39
Iraq,0,Low Risk Large,7034520000.0,4396847842.53,1962419814.48,2428475918.04,20,351726000.0,0.5551206418408452,0.35750000000000004,23.547843942505132,0.0,12
Uzbekistan,0,Low Risk Large,6060030000.0,4814326756.52,817347777.41,3996978979.11,46,131739782.60869566,0.3355839455052615,0.43913043478260877,12.08130226467875,2.1739130434782608,27
Hungary,0,Low Risk Large,5946880000.0,3561137211.72,3619551458.86,0.0,86,69149767.44186047,0.8944283936046242,0.06453488372093023,36.67341578721169,2.3255813953488373,0
Algeria,0,Low Risk Large,5911830000.0,4306515349.95,4270149349.95,0.0,128,46186171.875,0.8871428091349767,0.059375,37.82469199178645,2.34375,0
Guatemala,0,Low Risk Large,5797610000.0,4271488557.87,2344870135.58,1920856428.9099998,83,69850722.89156626,0.7401838852218039,0.16927710843373495,29.157253242951274,0.0,15
Croatia,0,Low Risk Large,5770159331.1,4532905505.15,3204233025.32,1408468677.04,92,62719123.16413044,0.7421714323106137,0.15597826086956523,25.239561943874058,1.0869565217391304,20
Panama,0,Low Risk Large,5728090000.0,4501603839.93,2201431871.51,2290958827.44,85,67389294.11764705,0.7695399786792139,0.17058823529411768,30.158908080686075,1.1764705882352942,27
Dominican Republic,0,Low Risk Large,5346440000.0,3867125511.59,1442134708.56,2424990803.0299997,82,65200487.80487805,0.6070908795414254,0.2774390243902439,25.707884676382697,3.6585365853658534,20
Uruguay,0,Low Risk Large,5270860000.0,4521855647.77,3224393458.1,1292840557.68,103,51173398.058252424,0.7989369423698567,0.1422330097087379,32.17934251709495,2.912621359223301,13
Chile,0,Low Risk Large,5244107000.0,3930648852.51,3701576647.14,221879127.09,115,45600930.43478261,0.8354603787088597,0.08956521739130435,37.60207124363896,2.608695652173913,3
El Salvador,0,Low Risk Large,4950668133.0,3019867957.4,1513152446.02,1501567756.14,75,66008908.44,0.5942056309013738,0.27133333333333337,29.375459730778008,4.0,23
Costa Rica,0,Low Risk Large,4917770500.0,3165997074.39,1216541637.04,1938357193.32,68,72320154.41176471,0.7348377821622257,0.16838235294117648,36.16406973467005,2.941176470588235,12
Lebanon,0,Low Risk Large,4856630000.0,2500048129.65,1314181845.11,1182416359.74,53,91634528.3018868,0.5428388342431575,0.3528301886792453,19.807575581470434,9.433962264150944,19
Malaysia,0,Low Risk Large,4150620000.0,3255899301.3,3102494900.46,0.0,127,32682047.244094487,0.8957087173921313,0.027559055118110236,45.22450915401489,1.574803149606299,0
Viet Nam,0,Low Risk Large,3963123000.0,2645891089.04,672332750.07,1973558338.97,21,188720142.85714287,0.15898596124591033,0.6714285714285715,10.359636256966851,0.0,20
Azerbaijan,0,Low Risk Large,3802800000.0,2998321968.73,2148078605.16,850243363.5699999,31,122670967.74193548,0.6747028920310988,0.3064516129032258,13.7560221677596,0.0,22
Kenya,0,Low Risk Large,3801214900.0,3343463838.63,994502294.03,2337226203.5,67,56734550.74626866,0.8155081386399444,0.12238805970149255,45.32340351629941,5.970149253731343,2
Cote D'Ivoire,0,Low Risk Large,3705500000.0,2699612496.5,2436176523.16,262792697.49,103,35975728.15533981,0.9463624238690647,0.025242718446601947,42.62599762099373,0.0,4
"Iran, Islamic Republic Of",0,Low Risk Large,3553100000.0,3033351173.84,2838472664.19,116329336.08,56,63448214.28571428,0.8795603315977356,0.05,44.96895472768163,0.0,2
"Venezuela, Republica Bolivariana De",0,Low Risk Large,3328400000.0,2566346997.45,2541368766.17,0.0,71,46878873.23943662,0.8699618380491464,0.07183098591549296,37.95447841050409,4.225352112676056,0
Bulgaria,0,Low Risk Large,3301265000.0,2972458203.49,3049371854.05,60961943.120000005,56,58951160.71428572,0.8639260588348768,0.08392857142857144,27.408037547667938,1.7857142857142856,3
Jamaica,0,Low Risk Large,3296100000.0,3070120208.54,1924882757.5,1143660587.84,105,31391428.57142857,0.7681027760603549,0.18380952380952384,32.278452462436036,0.9523809523809524,30
Cameroon,0,Low Risk Large,3174100000.0,1969284079.96,1100459961.31,860515560.1700001,79,40178481.01265823,0.8678654115504845,0.07784810126582278,39.719006402758644,1.2658227848101267,7
Georgia,0,Low Risk Large,2948800000.0,2080672178.31,225831908.62,1854840269.69,43,68576744.18604651,0.10296071405431637,0.6139534883720932,9.230250067650383,0.0,28
Paraguay,0,Low Risk Large,2867971000.16,2214486138.04,1067167603.27,1146066936.07,68,42176044.12,0.6949520424079918,0.2323529411764706,32.38833192414543,5.88235294117647,16
Bosnia And Herzegovina,0,Low Risk Large,2837989197.32,1965383635.44,1053966376.94,911417258.5,62,45774019.311612904,0.3662601694850191,0.31774193548387103,26.181051423020026,0.0,23
North Macedonia,0,Low Risk Large,2534980123.83,1868611318.85,1159866313.14,712738002.42,81,31296050.91148148,0.6816918261942474,0.23827160493827163,25.618407821465087,2.4691358024691357,27
Albania,0,Low Risk Large,2345510000.0,1548982653.27,304684569.71,1237264647.63,41,57207560.97560976,0.2283641200379974,0.5743902439024391,9.719303517470493,2.4390243902439024,32
Bolivia,0,Low Risk Large,2226201255.0,1322788422.67,302850068.19,1019888354.48,28,79507187.67857143,0.6171455413171054,0.2678571428571429,31.75955803265865,0.0,8
Belarus,0,Low Risk Large,2196420000.0,1732015296.93,731225749.79,1000789547.14,27,81348888.8888889,0.4023309801961935,0.48333333333333345,15.040129794407687,0.0,23
Armenia,0,Low Risk Large,2104500000.0,1232593913.34,175612091.43,1056981821.91,47,44776595.74468085,0.1665692214423318,0.5957446808510639,10.681812224212504,0.0,29
Sri Lanka,0,Low Risk Large,1856710000.0,1381314022.55,288689305.96,1089031867.52,24,77362916.66666667,0.4529041552824625,0.3791666666666667,31.448551220625145,8.333333333333332,8
Botswana,0,Low Risk Large,1673261341.0,1060455256.83,416753744.44,634880658.36,32,52289416.90625,0.7301513407036399,0.184375,34.79560232717317,0.0,8
"Yugoslavia, Former",0,Low Risk Large,1625943610.68,571401374.88,564512346.77,0.0,40,40648590.267000005,0.5167181572791443,0.45,48.964065708418886,45.0,0
Gabon,0,Low Risk Large,1611500000.0,1091713691.4,425589762.15,640007124.6899999,40,40287500.0,0.6066138526564743,0.28250000000000003,26.5870636550308,2.5,14
Moldova,0,Low Risk Large,1376080000.0,891629201.0799999,264955118.19,628324963.73,32,43002500.0,0.32141684879877175,0.4828125000000001,13.544062286105408,3.125,19
Portugal,1,At Risk Dormant,1338800000.0,973628417.79,909407828.78,0.0,35,38251428.571428575,0.8474848377702721,0.08571428571428572,47.240441967341354,8.571428571428571,0
Montenegro,0,Low Risk Large,1070603204.6,598536836.5,403090845.98,195445990.52,28,38235828.73571429,0.38465849512326283,0.4446428571428572,10.782829764349271,3.571428571428571,20
Mauritius,0,Low Risk Large,1026530000.0,721896903.76,629903760.23,85909723.88,67,15321343.28358209,0.8841971363574265,0.05671641791044776,34.439547641668455,0.0,11
Latvia,0,Low Risk Large,984615000.0,887526526.12,809216483.85,107874650.0,24,41025625.0,0.8946564188798615,0.06458333333333334,27.478211270819074,4.166666666666666,0
Zimbabwe,0,Low Risk Large,939300000.0,886002975.16,464156532.01,393514025.15,22,42695454.54545455,0.571986262148036,0.3954545454545455,43.927446954141004,0.0,19
"Congo, Republic Of",0,Low Risk Large,875600000.0,517155320.38,205307407.93,311847912.45,29,30193103.44827586,0.5254987766749306,0.31034482758620696,25.868819183837243,3.4482758620689653,8
Papua New Guinea,1,At Risk Dormant,866620000.0,721291636.44,700666163.49,5234716.11,37,23422162.162162162,0.9142744950913464,0.04054054054054055,37.38083874428843,0.0,2
Japan,1,At Risk Dormant,862900000.0,857041003.81,583607338.28,0.0,31,27835483.870967742,0.6161767438025398,0.0,66.81106621624606,0.0,0
Honduras,1,At Risk Dormant,717250000.0,690980653.04,686522000.5,0.0,45,15938888.888888888,0.9864234800866103,0.0,48.586691003118105,0.0,0
Zambia,1,At Risk Dormant,635350000.0,582129983.78,553550818.17,0.0,32,19854687.5,0.9456989410768731,0.0,52.01326146475017,0.0,0
Czechia,1,At Risk Dormant,626000000.0,511686256.67,511592028.71000004,0.0,5,125200000.0,0.9994376191485177,0.0,34.18973305954826,0.0,0
Eswatini,0,Low Risk Large,614300000.0,490193441.38,184119320.13,303914121.25,34,18067647.05882353,0.5311811523980378,0.29558823529411765,26.068204694608852,0.0,13
Syrian Arab Republic,1,At Risk Dormant,613200000.0,418619576.01,417569703.16,0.0,19,32273684.210526317,0.7886562005838789,0.21052631578947367,47.99956770777045,21.052631578947366,0
Slovak Republic,1,At Risk Dormant,574520000.0,596975665.27,652182977.53,-55207312.26,11,52229090.90909091,0.9901118335487162,0.0,26.822475266007096,0.0,0
Barbados,0,Low Risk Large,537350000.0,351121853.65,122389437.75,227451874.06,25,21494000.0,0.6966181383144462,0.18400000000000002,30.114277891854893,0.0,5
Greece,1,At Risk Dormant,490800000.0,372340660.22,288823645.01,0.0,17,28870588.23529412,0.7394816520059653,0.058823529411764705,52.15766799532955,5.88235294117647,0
Lithuania,1,At Risk Dormant,490790000.0,404108184.08,428536096.76,-20404194.0,19,25831052.63157895,0.9473684210526315,0.02368421052631579,29.40192370042148,0.0,0
Fiji,0,Low Risk Large,484350000.0,449189717.78999996,173886347.79,271844431.84000003,22,22015909.09090909,0.6433122867764052,0.2431818181818182,29.581482172857942,0.0,9
Spain,1,At Risk Dormant,478700000.0,416303805.35,363618452.83,0.0,12,39891666.666666664,0.8150865178125705,0.08333333333333333,56.421857175450604,8.333333333333332,0
Cyprus,1,At Risk Dormant,418800000.0,324143741.99,321853741.99,0.0,38,11021052.631578946,0.9136996317002919,0.07894736842105263,46.98087106884254,7.894736842105263,0
Australia,1,At Risk Dormant,417730000.0,417730000.0,197133718.69,0.0,7,59675714.28571428,0.35754088750915486,0.0,71.18372934389362,0.0,0
Italy,1,At Risk Dormant,399628000.0,398028000.0,132316815.68,0.0,8,49953500.0,0.3002144187898027,0.0,69.11978097193703,0.0,0
Kosovo,1,At Risk Dormant,385645133.96,385645133.97,485850180.79,-100205046.82,1,385645133.96,1.0,0.15,24.71457905544148,0.0,1
Slovenia,1,At Risk Dormant,371845701.14,299278073.74,307734207.46999997,-1201566.66,25,14873828.045599999,0.7998000000000001,0.06,42.17232032854209,0.0,0
Tanzania,1,At Risk Dormant,361030400.0,355552455.98,355462455.98,0.0,27,13371496.296296297,0.9993589743589744,0.0,52.90217253530053,0.0,0
Mongolia,2,High Risk Active,358800000.0,79847854.19,2903542.29,76944311.9,6,59800000.0,0.026114661776715915,0.6333333333333334,4.2870180241843485,0.0,6
Trinidad And Tobago,1,At Risk Dormant,353600000.0,307609661.99,264955565.6,19788482.53,35,10102857.142857144,0.8444729488011459,0.060000000000000005,40.38838369023174,0.0,0
"Congo, Democratic Republic Of",1,At Risk Dormant,330000000.0,301515521.87,247045475.34,0.0,10,33000000.0,0.6877689127824659,0.0,63.65639972621492,0.0,0
"Taiwan, China",1,At Risk Dormant,329400000.0,309785175.75,299917675.75,0.0,14,23528571.42857143,0.9486198727198083,0.0,58.3295198983084,0.0,0
Finland,1,At Risk Dormant,316779464.39,302237035.65,227193462.26000002,0.0,18,17598859.132777777,0.7796898619287059,0.0,64.50574188151191,0.0,0
Israel,1,At Risk Dormant,284500000.0,283798551.07,246611266.43,0.0,11,25863636.363636363,0.877619142500082,0.0,58.15692862920789,0.0,0
Seychelles,2,High Risk Active,274000000.0,234231167.44,21688632.37,212542535.07,22,12454545.454545455,0.15251386122020433,0.5772727272727274,10.324061974986,0.0,16
France,1,At Risk Dormant,250000000.0,250000000.0,38000.0,0.0,1,250000000.0,0.000152,0.0,79.31279945242984,0.0,0
Netherlands,1,At Risk Dormant,244000000.0,236451984.72,107897300.46,0.0,11,22181818.181818184,0.10714997025715975,0.0,77.14939953954328,0.0,0
Nicaragua,1,At Risk Dormant,233550000.0,229605030.22,223980602.79,0.0,31,7533870.9677419355,0.9623103213615013,0.0,58.44578393058223,0.0,0
Bhutan,2,High Risk Active,215000000.0,0.0,0.0,0.0,2,107500000.0,0.0,0.5,0.6050650239561944,0.0,0
Belize,1,At Risk Dormant,212400000.0,145234205.3,98254299.74,46979905.56,22,9654545.454545455,0.7229830417747626,0.1863636363636364,28.35417833364445,0.0,5
Ghana,1,At Risk Dormant,190500000.0,189719979.17,189339979.17,0.0,11,17318181.818181816,0.9077945535372823,0.03636363636363637,48.71806359280692,0.0,0
Singapore,1,At Risk Dormant,181300000.0,179353244.55,138965641.4,0.0,14,12950000.0,0.8088102967100718,0.0,57.378898992862034,0.0,0
Sudan,1,At Risk Dormant,166000000.0,138985949.4,133215949.4,0.0,8,20750000.0,0.8515591397849462,0.125,59.54277891854894,12.5,0
Senegal,1,At Risk Dormant,162950000.0,129325475.96,126068796.87,0.0,23,7084782.608695652,0.9294651949077902,0.043478260869565216,49.96268190340149,4.3478260869565215,0
Oman,1,At Risk Dormant,157050000.0,142310222.49,136120865.58,0.0,15,10470000.0,0.971724774625905,0.0,43.93885466575405,0.0,0
Liberia,1,At Risk Dormant,155950000.0,141256735.44,140851735.44,0.0,22,7088636.363636363,0.9942132867132867,0.0,51.39306825959804,0.0,0
Lesotho,1,At Risk Dormant,155000000.0,89350715.74,89350715.74,0.0,2,77500000.0,1.0,0.0,31.67419575633128,0.0,0
Ireland,1,At Risk Dormant,152500000.0,150346453.35,106639541.62,0.0,10,15250000.0,0.7639598957653975,0.0,53.84065708418891,0.0,0
Estonia,1,At Risk Dormant,150700000.0,125411712.32,136154689.46,-5238202.39,16,9418750.0,0.625,0.15625,31.718001368925393,0.0,0
Mauritania,1,At Risk Dormant,146000000.0,146000000.0,82645791.5,0.0,3,48666666.666666664,0.68002925,0.0,51.43417750399269,0.0,0
Norway,1,At Risk Dormant,145000000.0,145000000.0,94970400.09,0.0,6,24166666.666666668,0.6522328165333333,0.0,68.31165868126854,0.0,0
"Bahamas, The",1,At Risk Dormant,142800000.0,139251813.54,42821813.54,96430000.0,6,23800000.0,0.8392833333333334,0.10833333333333335,37.15628564909879,0.0,1
New Zealand,1,At Risk Dormant,126800000.0,101545879.09,92552674.68,0.0,6,21133333.333333332,0.7394027258929788,0.16666666666666666,59.47250741501255,16.666666666666664,0
Malawi,1,At Risk Dormant,124100000.0,104516425.69,104516425.69,0.0,10,12410000.0,1.0,0.0,45.30622861054073,0.0,0
Namibia,1,At Risk Dormant,115000000.0,15074534.82,15357047.39,-282512.57,3,38333333.333333336,0.6626903354303553,0.18333333333333335,13.12434405658225,0.0,1
Eastern And Southern Africa,1,At Risk Dormant,110955000.0,110782250.58,86419250.58,0.0,11,10086818.181818182,0.9057553841676367,0.0,57.68079148777301,0.0,0
Turkmenistan,1,At Risk Dormant,109500000.0,57899433.9,37899433.9,20000000.0,5,21900000.0,0.8,0.12000000000000002,25.522245037645447,0.0,0
Ethiopia,1,At Risk Dormant,108600000.0,108596977.22,102561482.13,0.0,12,9050000.0,0.9534446765119936,0.0,64.7086470454027,0.0,0
Austria,1,At Risk Dormant,106336428.57,104860082.57,59975397.8,0.0,9,11815158.729999999,0.5507015612810692,0.0,68.83078561107308,0.0,0
Western And Central Africa,1,At Risk Dormant,93600000.0,91267042.62,91267042.62,0.0,4,23400000.0,1.0,0.0,44.77823408624231,0.0,0
Southern Africa,1,At Risk Dormant,87700000.0,87700000.0,45714765.5,0.0,2,43850000.0,0.4711620895698052,0.0,66.05338809034907,0.0,0
Denmark,1,At Risk Dormant,85000000.0,85000000.0,44712166.54,0.0,3,28333333.333333332,0.5437783098666666,0.0,69.90189368012777,0.0,0
Caribbean,1,At Risk Dormant,83000000.0,52702010.480000004,52702010.480000004,0.0,8,10375000.0,0.75,0.125,40.092060232717316,12.5,0
Guyana,1,At Risk Dormant,79950000.0,76211521.88,75444121.88,0.0,12,6662500.0,0.9377060531527944,0.0,52.16609628108602,0.0,0
Belgium,1,At Risk Dormant,76000000.0,76000000.0,1138000.0,0.0,4,19000000.0,0.0180875,0.0,73.30732375085557,0.0,0
Guinea,1,At Risk Dormant,75200000.0,73500000.0,73500000.0,0.0,3,25066666.666666668,0.6666666666666666,0.3333333333333333,57.856262833675565,33.33333333333333,0
Cabo Verde,2,High Risk Active,62000000.0,60133307.16,17071852.6,43061454.56,3,20666666.666666668,0.1102121449571183,0.6333333333333334,8.860597764088524,0.0,2
Suriname,2,High Risk Active,58000000.0,38830278.08,2085048.02,36745230.06,2,29000000.0,0.05371399340962515,0.6500000000000001,7.344284736481862,0.0,2
Bangladesh,1,At Risk Dormant,54895633.38,54895633.38,54895633.38,0.0,1,54895633.38,1.0,0.0,51.55099247091034,0.0,0
Iceland,1,At Risk Dormant,47014000.0,47014000.0,33153422.43,0.0,10,4701400.0,0.8244877162282489,0.0,65.60492813141684,0.0,0
Uganda,1,At Risk Dormant,43199700.0,42922288.63,34606752.7,0.0,9,4799966.666666667,0.8900061384920634,0.0,58.18875960149061,0.0,0
Grenada,1,At Risk Dormant,40198161.0,33285517.28,20860024.17,12425493.110000001,12,3349846.75,0.7298500040740742,0.18750000000000003,20.44992014601871,0.0,2
St. Lucia,1,At Risk Dormant,40146161.0,37853478.56,35693478.56,2160000.0,15,2676410.7333333334,0.9640000000000001,0.03333333333333333,26.008122290668492,0.0,1
Chad,1,At Risk Dormant,39500000.0,37360106.29,37360106.29,0.0,1,39500000.0,1.0,0.0,26.2340862422998,0.0,0
Myanmar,1,At Risk Dormant,33350000.0,33123943.82,30378965.74,0.0,3,11116666.666666666,0.9339005886829241,0.0,68.75929728496463,0.0,0
Madagascar,1,At Risk Dormant,32850000.0,32570880.07,32570880.07,0.0,5,6570000.0,1.0,0.0,55.973169062286104,0.0,0
Mozambique,2,High Risk Active,30000000.0,0.0,0.0,0.0,2,15000000.0,0.0,0.775,22.77891854893908,50.0,0
St. Kitts And Nevis,1,At Risk Dormant,27319322.0,24200934.009999998,24200934.009999998,0.0,11,2483574.727272727,0.9090909090909091,0.045454545454545456,28.912948789745506,0.0,0
Sierra Leone,1,At Risk Dormant,18700000.0,18700000.0,18160000.0,0.0,5,3740000.0,0.9716464237516869,0.0,55.793566050650234,0.0,0
Timor-Leste,2,High Risk Active,15000000.0,14953682.63,3442162.12,11511520.51,1,15000000.0,0.2301882556404101,0.6500000000000001,12.856947296372349,0.0,1
St. Vincent And The Grenadines,1,At Risk Dormant,14642161.0,9698377.29,9698377.29,0.0,8,1830270.125,1.0,0.0,26.44113620807666,0.0,0
Antigua And Barbuda,2,High Risk Active,12000000.0,4564254.27,845195.38,3719058.89,2,6000000.0,0.16802054194286503,0.7000000000000002,10.696783025325121,0.0,2
Luxembourg,1,At Risk Dormant,12000000.0,11761983.02,1619983.02,0.0,1,12000000.0,0.1377304334860364,0.0,79.00889801505818,0.0,0
Dominica,1,At Risk Dormant,7760000.0,4996043.6,4996043.6,0.0,6,1293333.3333333333,0.6666666666666666,0.25,28.96600501939311,16.666666666666664,0
Malta,1,At Risk Dormant,7500000.0,6040079.57,34079.57,0.0,1,7500000.0,0.0056422385839529,0.0,63.04996577686516,0.0,0
Burundi,1,At Risk Dormant,4800000.0,4800000.0,1832000.0,0.0,1,4800000.0,0.3816666666666666,0.0,69.18275154004107,0.0,0
Togo,1,At Risk Dormant,3500000.0,3500000.0,3500000.0,0.0,1,3500000.0,1.0,0.0,50.18480492813142,0.0,0
Haiti,1,At Risk Dormant,2600000.0,2600000.0,2214000.0,0.0,1,2600000.0,0.8515384615384616,0.0,70.32443531827515,0.0,0
