Loan Number,Country / Economy,Region,Loan Status,Original Principal Amount (US$),Disbursed Amount (US$),Undisbursed Amount (US$),Cancelled Amount (US$),Repaid to IBRD (US$),Due to IBRD (US$),loan_age_years,repayment_ratio,interest_rate,reason,combined_score
IBRD01550,Australia,EAST ASIA AND PACIFIC,Fully Repaid,2.835444366111227,2.835444366111227,0.0,0.0,0.0,0.0,69.79329226557152,0.0,0.0,loan_age_years,2.086612678786333
IBRD40720,Slovenia,EUROPE AND CENTRAL ASIA,Terminated,2.887646092051199,0.0,0.0,0.0,0.0,0.0,30.09993155373032,0.0,0.0,loan_age_years,1.9900122756505658
IBRDG4390,Uzbekistan,EUROPE AND CENTRAL ASIA,Effective,2.7768467571891517,0.0,2.765074412886843,2.6605872178988217,0.0,0.0,1.7056810403832992,0.0,0.0,Original Principal Amount (US$),1.949166502028539
IBRD36840,Peru,LATIN AMERICA AND CARIBBEAN,Fully Repaid,2.441900653403282,0.0,0.0,2.441900653403282,0.0,0.0,32.70636550308008,0.0,0.0,loan_age_years,1.8977187136070435
IBRD40740,Slovenia,EUROPE AND CENTRAL ASIA,Terminated,2.815563219972621,0.0,0.0,0.0,0.0,0.0,30.09993155373032,0.0,0.0,loan_age_years,1.8262564132280792
IBRD87790,Seychelles,EASTERN AND SOUTHERN AFRICA,Disbursing,2.7988014392758886,2.792881924222828,2.4311510625695565,2.637022604769401,0.0,2.792881924222828,8.919917864476385,0.0,0.0,loan_age_years,1.7203231676550002
IBRD98480,Seychelles,EASTERN AND SOUTHERN AFRICA,Disbursing,2.835887709788358,2.40605654953654,2.8377573805702645,0.0,0.0,2.40605654953654,1.106091718001369,0.0,0.0,Undisbursed Amount (US$),1.6571729671176483
IBRDG3930,Uzbekistan,EUROPE AND CENTRAL ASIA,Signed,2.85073062208483,0.0,2.7296509241961955,2.7414951069823346,0.0,0.0,3.485284052019165,0.0,0.0,loan_age_years,1.652766460812135
IBRDG4120,Uzbekistan,EUROPE AND CENTRAL ASIA,Effective,2.85073062208483,0.0,2.835587700499389,2.7616653318500037,0.0,0.0,2.6584531143052703,0.0,0.0,Original Principal Amount (US$),1.6488033109203468
IBRD70740,Lithuania,EUROPE AND CENTRAL ASIA,Terminated,2.870995754113868,0.0,0.0,0.0,0.0,0.0,25.021218343600275,0.0,0.0,loan_age_years,1.6422771696894114
IBRD00090,Netherlands,EUROPE AND CENTRAL ASIA,Fully Repaid,2.7413984640023243,2.7413984640023243,0.0,0.0,0.0,0.0,78.27789185489391,0.0,0.0,loan_age_years,1.6206433941841494
IBRD00101,Netherlands,EUROPE AND CENTRAL ASIA,Fully Repaid,2.7413984640023243,2.7413984640023243,0.0,0.0,0.0,0.0,78.27789185489391,0.0,0.0,loan_age_years,1.6206433941841494
IBRD00071,Netherlands,EUROPE AND CENTRAL ASIA,Fully Repaid,2.7413984640023243,2.7413984640023243,0.0,0.0,0.0,0.0,78.27789185489391,0.0,0.0,loan_age_years,1.6206433941841494
IBRD00070,Netherlands,EUROPE AND CENTRAL ASIA,Fully Repaid,2.7413984640023243,2.7413984640023243,0.0,0.0,0.0,0.0,78.27789185489391,0.0,0.0,loan_age_years,1.6206433941841494
IBRD00100,Netherlands,EUROPE AND CENTRAL ASIA,Fully Repaid,2.7413984640023243,2.7413984640023243,0.0,0.0,0.0,0.0,78.27789185489391,0.0,0.0,loan_age_years,1.6206433941841494
IBRD00080,Netherlands,EUROPE AND CENTRAL ASIA,Fully Repaid,2.7413984640023243,2.7413984640023243,0.0,0.0,0.0,0.0,78.27789185489391,0.0,0.0,loan_age_years,1.6206433941841494
IBRD00010,France,EUROPE AND CENTRAL ASIA,Fully Repaid,3.0124404847373603,3.0124404847373603,0.0,0.0,2.4462842962750297,0.0,79.31279945242984,0.000152,0.0,loan_age_years,1.616934611450487
IBRDG2540,Montenegro,EUROPE AND CENTRAL ASIA,Effective,2.9625947434844693,0.0,2.962470097833795,0.0,0.0,0.0,8.695414099931554,0.0,0.0,loan_age_years,1.6113265633364535
IBRD00021,Netherlands,EUROPE AND CENTRAL ASIA,Fully Repaid,2.7844364287188363,2.7844364287188363,0.0,0.0,0.0,0.0,79.06639288158796,0.0,0.0,loan_age_years,1.6098427212082327
IBRD36480,El Salvador,LATIN AMERICA AND CARIBBEAN,Fully Repaid,2.5201259324575784,0.0,0.0,2.5201259324575784,0.0,0.0,32.96098562628337,0.0,0.0,loan_age_years,1.5975027670719988
IBRD00130,Mexico,LATIN AMERICA AND CARIBBEAN,Fully Cancelled,2.8401361350270378,0.0,0.0,2.8401361350270378,0.0,0.0,77.64818617385353,0.0,0.0,loan_age_years,1.5682427448860599
IBRDG2580,India,SOUTH ASIA,Approved,2.954782000240642,0.0,2.954782000240642,0.0,0.0,0.0,8.290212183436003,0.0,0.0,loan_age_years,1.5182470842562807
IBRDG2530,Seychelles,EASTERN AND SOUTHERN AFRICA,Effective,2.7988014392758886,0.0,2.7988014392758886,0.0,0.0,0.0,8.919917864476385,0.0,0.0,loan_age_years,1.5068039424679522
IBRD09907,North Macedonia,EUROPE AND CENTRAL ASIA,Fully Repaid,2.4482652700017042,2.4482652700017042,0.0,0.0,2.4482652700017042,0.0,52.27926078028747,1.0,0.0,loan_age_years,1.501159969157592
IBRD00640,Brazil,LATIN AMERICA AND CARIBBEAN,Fully Cancelled,2.8922802923091946,0.0,0.0,2.8922802923091946,0.0,0.0,74.17659137577002,0.0,0.0,loan_age_years,1.479500971826924
IBRD3426A,Chile,LATIN AMERICA AND CARIBBEAN,Fully Cancelled,2.559463045712359,0.0,0.0,2.559463045712359,0.0,0.0,34.704996577686515,0.0,0.0,loan_age_years,1.4766634204566818
IBRDG3240,Uzbekistan,EUROPE AND CENTRAL ASIA,Effective,2.8000063560102686,0.0,2.8000063560102686,0.0,0.0,0.0,5.938398357289528,0.0,0.0,loan_age_years,1.4748453877221226
IBRD38200,Ecuador,LATIN AMERICA AND CARIBBEAN,Fully Repaid,2.5795189787675703,0.0,0.0,2.5795189787675703,0.0,0.0,31.71526351813826,0.0,0.0,loan_age_years,1.4550030306887693
IBRD14778,Slovenia,EUROPE AND CENTRAL ASIA,Fully Repaid,2.5799921929948053,0.0,0.0,0.0,0.0,0.0,49.15537303216975,0.0,0.0,loan_age_years,1.452754539523395
IBRD3879A,Dominica,LATIN AMERICA AND CARIBBEAN,Fully Cancelled,2.6605872178988217,0.0,0.0,2.6605872178988217,0.0,0.0,31.326488706365502,0.0,0.0,loan_age_years,1.4504899792070831
IBRD00870,Panama,LATIN AMERICA AND CARIBBEAN,Fully Repaid,2.6084242962897357,2.6084242962897357,0.0,0.0,2.6084242962897357,0.0,72.93086926762491,1.0,0.0,loan_age_years,1.4192834784951747
IBRD00800,Iceland,EUROPE AND CENTRAL ASIA,Fully Repaid,2.5980261119251105,2.5980261119251105,0.0,0.0,2.5980261119251105,0.0,72.99110198494182,1.0,0.0,loan_age_years,1.418383252422089
IBRD98400,Seychelles,EASTERN AND SOUTHERN AFRICA,Effective,2.8270148923814977,0.0,2.8270148923814977,0.0,0.0,0.0,1.2539356605065024,0.0,0.0,Original Principal Amount (US$),1.3966136503692037
IBRD14779,Croatia,EUROPE AND CENTRAL ASIA,Fully Repaid,2.643312899142432,0.0,0.0,0.0,0.0,0.0,49.15537303216975,0.0,0.0,loan_age_years,1.3922049496966094
IBRD00490,Chile,LATIN AMERICA AND CARIBBEAN,Fully Repaid,2.7132284767714037,2.685001352989987,0.0,2.639561060023618,2.5883640634777674,0.0,74.89390828199863,0.2591775871751071,0.0,loan_age_years,1.3865949262359898
IBRD81560,Kazakhstan,EUROPE AND CENTRAL ASIA,Disbursing&Repaying,3.0814077142556027,3.0812509766043874,2.7792998443866246,0.0,3.0535680543769916,3.0437330737061683,14.33264887063655,0.5516624120039856,0.0,loan_age_years,1.3802012245745576
IBRD99210,India,SOUTH ASIA,Disbursing,3.0697694266982367,2.7437694189628252,3.066685613353076,2.931239586471879,0.0,2.7437694189628252,0.5886379192334018,0.0,0.0,Original Principal Amount (US$),1.3730184713512694
IBRD11155,Malaysia,EAST ASIA AND PACIFIC,Fully Repaid,2.5775856463985143,0.0,0.0,2.5775856463985143,0.0,0.0,51.30184804928131,0.0,0.0,loan_age_years,1.372981695348813
IBRD47880,Indonesia,EAST ASIA AND PACIFIC,Fully Repaid,2.9470470004286513,0.0,0.0,0.0,0.0,0.0,21.22655715263518,0.0,0.0,loan_age_years,1.3587944698215964
IBRD47790,Indonesia,EAST ASIA AND PACIFIC,Fully Repaid,2.9457366005480523,0.0,0.0,0.0,0.0,0.0,21.28952772073922,0.0,0.0,loan_age_years,1.3567427825722858
IBRD3305A,Indonesia,EAST ASIA AND PACIFIC,Fully Cancelled,2.6627181285167945,0.0,0.0,2.6627181285167945,0.0,0.0,35.45242984257358,0.0,0.0,loan_age_years,1.3552216004521833
IBRD14699,Croatia,EUROPE AND CENTRAL ASIA,Fully Repaid,2.663914734102726,0.0,0.0,0.0,0.0,0.0,49.17453798767967,0.0,0.0,loan_age_years,1.3444981186072862
IBRDS0010,Guinea,WESTERN AND CENTRAL AFRICA,Fully Cancelled,2.7308639373361103,0.0,0.0,2.7308639373361103,0.0,0.0,60.42436687200548,0.0,0.0,loan_age_years,1.3413944751754003
IBRD96770,Seychelles,EASTERN AND SOUTHERN AFRICA,Disbursing,2.7988014392758886,2.6736218778212377,2.7892344093152097,0.0,0.0,2.6736218778212377,2.297056810403833,0.0,0.0,Original Principal Amount (US$),1.3409715251906866
IBRD01810,Ecuador,LATIN AMERICA AND CARIBBEAN,Fully Cancelled,2.6605872178988217,0.0,0.0,2.6605872178988217,0.0,0.0,68.83230663928816,0.0,0.0,loan_age_years,1.3364556599242268
IBRD95650,India,SOUTH ASIA,Disbursing,3.0135099584846747,2.6649527019489403,3.0026008052695263,2.9299948251044747,0.0,2.6649527019489403,3.189596167008898,0.0,0.0,loan_age_years,1.3330583423480524
IBRD01900,Peru,LATIN AMERICA AND CARIBBEAN,Fully Cancelled,2.8635463083350072,0.0,0.0,2.8635463083350072,0.0,0.0,68.41615331964408,0.0,0.0,loan_age_years,1.3227785923706676
IBRD35220,Estonia,EUROPE AND CENTRAL ASIA,Fully Repaid,2.71649638163689,0.0,0.0,2.71649638163689,0.0,0.0,33.91375770020534,0.0,0.0,loan_age_years,1.3223874494413521
IBRD00820,Nicaragua,LATIN AMERICA AND CARIBBEAN,Fully Repaid,2.6402712413808804,2.6402712413808804,0.0,0.0,2.6402712413808804,0.0,72.99110198494182,1.0,0.0,loan_age_years,1.3202408069901979
IBRDS0020,Tunisia,"MID EAST,NORTH AFRICA,AFG,PAK",Fully Cancelled,2.684644601625698,0.0,0.0,2.684644601625698,0.0,0.0,57.242984257357975,0.0,0.0,loan_age_years,1.3155200796557918
IBRDG3090,Montenegro,EUROPE AND CENTRAL ASIA,Effective,2.9608985758102415,0.0,2.962470097833795,0.0,0.0,0.0,6.48870636550308,0.0,0.0,loan_age_years,1.302516384183665
IBRD01220,Nicaragua,LATIN AMERICA AND CARIBBEAN,Fully Repaid,2.6318328908079858,2.6318328908079858,0.0,0.0,2.6318328908079858,0.0,71.14852840520192,1.0,0.0,loan_age_years,1.2968327454463848
IBRD47710,Indonesia,EAST ASIA AND PACIFIC,Fully Repaid,2.954782000240642,0.0,0.0,0.0,0.0,0.0,21.437371663244356,0.0,0.0,loan_age_years,1.2968161300536343
IBRD48100,Indonesia,EAST ASIA AND PACIFIC,Fully Repaid,2.954782000240642,0.0,0.0,0.0,0.0,0.0,20.71457905544148,0.0,0.0,loan_age_years,1.2946758037217085
IBRD47860,Indonesia,EAST ASIA AND PACIFIC,Fully Repaid,2.92435297126682,0.0,0.0,0.0,0.0,0.0,21.232032854209447,0.0,0.0,loan_age_years,1.2933126350684445
IBRD99130,Armenia,EUROPE AND CENTRAL ASIA,Signed,2.8401361350270378,0.0,2.8401361350270378,0.0,0.0,0.0,0.6872005475701575,0.0,0.0,Original Principal Amount (US$),1.2902786264599997
IBRD92120,Papua New Guinea,EAST ASIA AND PACIFIC,Disbursing,2.9023391934519456,2.7873514075887207,2.871761244732394,2.8307353950735394,0.0,2.7873514075887207,5.418206707734429,0.0,0.0,loan_age_years,1.2879585934665791
IBRD94420,Panama,LATIN AMERICA AND CARIBBEAN,Disbursing,2.8231875897092538,0.0,0.0,2.8231875897092538,0.0,0.0,3.920602327173169,0.0,0.0,loan_age_years,1.2868603383515809
IBRD87580,Grenada,LATIN AMERICA AND CARIBBEAN,Fully Disbursed,2.7345816279505355,2.716662526037974,0.0,2.637154529886441,0.0,2.716662526037974,9.267624914442164,0.0,0.0,loan_age_years,1.284636905888422
IBRD95590,Chile,LATIN AMERICA AND CARIBBEAN,Disbursing,2.987001564525397,2.733608359746925,2.771775434587138,2.9852901593129038,0.0,2.733608359746925,3.1759069130732374,0.0,0.0,loan_age_years,1.2656072190736583
IBRD78000,Hungary,EUROPE AND CENTRAL ASIA,Terminated,3.09417977908628,0.0,0.0,0.0,0.0,0.0,16.93908281998631,0.0,0.0,loan_age_years,1.2433331461656638
IBRD95950,Ecuador,LATIN AMERICA AND CARIBBEAN,Disbursing,2.99885412726322,2.747156907979866,2.965199044730337,2.9608985758102415,0.0,2.747156907979866,2.921286789869952,0.0,0.0,Original Principal Amount (US$),1.2409998284113481
IBRD05840,Senegal,WESTERN AND CENTRAL AFRICA,Fully Cancelled,2.7768467571891517,0.0,0.0,2.7768467571891517,0.0,0.0,57.62628336755647,0.0,0.0,loan_age_years,1.2390679960915407
IBRD47610,Indonesia,EAST ASIA AND PACIFIC,Fully Repaid,3.0213655672701716,0.0,0.0,0.0,0.0,0.0,21.69199178644764,0.0,0.0,loan_age_years,1.2293126478075482
IBRD99430,Turkiye,EUROPE AND CENTRAL ASIA,Effective,3.109793414567949,0.0,3.1084591563461186,0.0,0.0,0.0,0.4188911704312115,0.0,0.0,Original Principal Amount (US$),1.1930343142860473
IBRD92650,China,EAST ASIA AND PACIFIC,Fully Cancelled,2.8401361350270378,0.0,0.0,2.8401361350270378,0.0,0.0,5.1854893908282,0.0,0.0,loan_age_years,1.18584520416211
IBRD92310,Eswatini,EASTERN AND SOUTHERN AFRICA,Disbursing&Repaying,2.7988014392758886,2.787481030067247,2.684162342078902,0.0,2.6101143321742666,2.782909208962529,5.374401095140315,0.0714000012646824,0.0,loan_age_years,1.1832246620844167
IBRD05690,Sri Lanka,SOUTH ASIA,Fully Cancelled,2.797570681207066,0.0,0.0,2.797570681207066,0.0,0.0,57.87542778918549,0.0,0.0,loan_age_years,1.1798912545593379
IBRD94190,India,SOUTH ASIA,Disbursing,2.987001564525397,2.749994005174687,2.9595653784930986,2.939683221977514,0.0,2.749994005174687,4.205338809034908,0.0,0.0,loan_age_years,1.1736469492588557
IBRD92130,China,EAST ASIA AND PACIFIC,Disbursing,3.0213655672701716,2.7851226662208344,3.016873592145222,2.886070271267478,0.0,2.7851226662208344,5.434633812457221,0.0,0.0,loan_age_years,1.1576894727850426
