End of Period,Loan Number,Region,Country / Economy Code,Country / Economy,Borrower,Guarantor Country / Economy Code,Guarantor,Loan Type,Loan Status,Interest Rate,Currency of Commitment,Project ID,Project Name,Original Principal Amount (US$),Cancelled Amount (US$),Undisbursed Amount (US$),Disbursed Amount (US$),Repaid to IBRD (US$),Due to IBRD (US$),Exchange Adjustment (US$),Borrower's Obligation (US$),Sold 3rd Party (US$),Repaid 3rd Party (US$),Due 3rd Party (US$),Loans Held (US$),First Repayment Date,Last Repayment Date,Agreement Signing Date,Board Approval Date,Effective Date (Most Recent),Closed Date (Most Recent),Last Disbursement Date,Board approval - Fiscal year,Board approval - Calendar year,loan_age_days,loan_age_years,disbursed_percent,cancelled_percent,undisbursed_percent,repayment_ratio,outstanding_ratio,net_disbursed,is_active,is_fully_repaid,is_cancelled,is_closed,is_guarantee,loan_size_category,age_category,approval_year,approval_decade,portfolio_status,risk_score,risk_score_original
2026-08-31,IBRD88560,EAST ASIA AND PACIFIC,CN,China,MINISTRY OF FINANCE,CN,China,FSL,Repaying,0.0,,P159870,Qiandao Lake&Xin'an River & Ecosys,150000000.0,12848089.39,0.0,137151910.61,8892633.12,128259277.49,0.0,128259277.49,0.0,0.0,0,128259277.49,2024-11-01,2043-05-01,2018-08-10,2018-06-06,2018-11-26,2024-12-31,2025-05-16,2018,2018,3008,8.235455167693361,91.43460707333334,8.565392926666666,0.0,0.0648378362390207,0.935162163760979,124303821.22,True,False,False,True,False,Medium,5-10,2018,2010,Early Stage,3.900000000000001,0.6500000000000001
2026-08-31,IBRD88650,EAST ASIA AND PACIFIC,CN,China,MINISTRY OF FINANCE,CN,China,FSL,Disbursing&Repaying,0.0,,P158622,Hezhou Urban Water Infra. and Env. Impro,150000000.0,22000000.0,18098415.28,109901584.72,4791069.53,105110515.19,0.0,105110515.19,0.0,0.0,0,123208930.47,2025-07-01,2050-01-01,2018-08-24,2018-06-13,2018-11-19,2026-04-30,2026-04-24,2018,2018,3001,8.216290212183436,73.26772314666667,14.666666666666666,12.065610186666667,0.0435941805771624,0.9564058194228376,87901584.72,True,False,False,True,False,Medium,5-10,2018,2010,Early Stage,3.900000000000001,0.6500000000000001
2026-08-31,IBRD88820,EAST ASIA AND PACIFIC,CN,China,MINISTRY OF FINANCE,CN,China,FSL,Repaying,0.0,,P154716,Anhui Aged Care Project,118000000.0,29546013.73,0.0,88453986.27,8892378.53,79561607.74,0.0,79561607.74,0.0,0.0,0,79561607.74,2023-11-01,2043-05-01,2018-08-10,2018-06-19,2018-10-22,2025-10-31,2026-06-04,2018,2018,2995,8.199863107460644,74.96100531355931,25.03899468644068,0.0,0.1005311225076572,0.8994688774923427,58907972.53999999,True,False,False,True,False,Medium,5-10,2018,2010,Early Stage,4.500000000000001,0.7500000000000001
2026-08-31,IBRD88900,EAST ASIA AND PACIFIC,CN,China,MINISTRY OF FINANCE,CN,China,FSL,Disbursing&Repaying,0.0,,P163138,Guangxi Poverty Reduction PforR,400000000.0,0.0,0.01,399999999.99,40000000.0,359999999.99,0.0,359999999.99,0.0,0.0,0,360000000.0,2024-11-01,2044-05-01,2018-09-17,2018-06-22,2018-12-14,2021-12-31,2021-11-08,2018,2018,2992,8.191649555099247,99.9999999975,0.0,2.5e-09,0.1000000000024999,0.8999999999975,399999999.99,True,False,False,True,False,Large,5-10,2018,2010,Early Stage,3.900000000000001,0.6500000000000001
2026-08-31,IBRD89050,EAST ASIA AND PACIFIC,CN,China,MINISTRY OF FINANCE,CN,China,FSL,Repaying,0.0,,P158733,Anhui Rural Road Resilience PforR,200000000.0,0.0,0.0,200000000.0,24000000.0,176000000.0,0.0,176000000.0,0.0,0.0,0,176000000.0,2024-03-01,2038-09-01,2018-12-29,2018-09-27,2019-02-26,2023-06-30,2023-02-23,2019,2018,2895,7.926078028747433,100.0,0.0,0.0,0.12,0.88,200000000.0,True,False,False,True,False,Large,5-10,2018,2010,Early Stage,3.900000000000001,0.6500000000000001
2026-08-31,IBRD89270,EAST ASIA AND PACIFIC,CN,China,MINISTRY OF FINANCE,CN,China,FSL,Disbursing&Repaying,0.0,,P162349,Guizhou Aged Care System Develop Program,350000000.0,100782651.71,62931529.87,180946455.55,8730724.86,172215730.69,8400396.79,180616127.48,0.0,0.0,0,235147260.56,2025-04-01,2052-10-01,2019-05-14,2019-03-21,2019-09-11,2026-10-31,2026-07-06,2019,2019,2720,7.446954140999315,51.6989873,28.795043345714284,17.980437105714284,0.0482503226352918,0.951749677364708,80163803.84000002,True,False,False,True,False,Large,5-10,2019,2010,Early Stage,4.500000000000001,0.7500000000000001
2026-08-31,IBRD89590,EAST ASIA AND PACIFIC,CN,China,MINISTRY OF FINANCE,CN,China,FSL,Fully Disbursed,0.0,,P158124,Green Urban Financing and Innovation,200000000.0,137236736.54,0.0,62763263.46,0.0,62763263.46,0.0,62763263.46,0.0,0.0,0,62763263.46,2027-11-01,2047-05-01,2020-01-23,2019-05-21,2020-04-20,2025-06-30,2025-04-09,2019,2019,2659,7.279945242984257,31.38163173,68.61836826999999,0.0,0.0,1.0,-74473473.07999998,False,False,False,True,False,Large,5-10,2019,2010,Early Stage,4.2,0.7000000000000001
2026-08-31,IBRD89640,EAST ASIA AND PACIFIC,CN,China,MINISTRY OF FINANCE,CN,China,FSL,Repaying,0.0,,P162623,Shaanxi Sustainable Towns Development,100000000.0,2197992.58,0.0,95024587.86,5607392.68,89417195.18,6111899.89,95529095.07,0.0,0.0,0,89417195.18,2025-09-01,2043-03-01,2020-01-06,2019-05-28,2020-08-28,2025-12-31,2026-06-22,2019,2019,2652,7.260780287474333,95.02458786,2.19799258,0.0,0.059009913184379,0.940990086815621,92826595.28,True,False,False,True,False,Medium,5-10,2019,2010,Early Stage,3.900000000000001,0.6500000000000001
2026-08-31,IBRD89690,EAST ASIA AND PACIFIC,CN,China,MINISTRY OF FINANCE,CN,China,FSL,Disbursing,0.0,,P163679,China RE and Storage Project,300000000.0,0.0,0.0,302788335.58,0.0,302788335.58,7199474.43,309987810.01,0.0,0.0,0,302788335.58,2037-06-01,2037-06-01,2019-12-20,2019-06-11,2020-03-18,2027-05-31,2025-12-29,2019,2019,2638,7.222450376454483,100.92944519333334,0.0,0.0,0.0,1.0,302788335.58,True,False,False,True,False,Large,5-10,2019,2010,Early Stage,3.900000000000001,0.6500000000000001
2026-08-31,IBRD89700,EAST ASIA AND PACIFIC,CN,China,MINISTRY OF FINANCE,CN,China,FSL,Disbursing,0.0,,P158215,GRIP,50000000.0,0.0,25119102.0,25758720.5,0.0,25758720.5,844797.5,26603518.0,0.0,0.0,0,50877822.5,2039-06-01,2039-06-01,2019-07-17,2019-06-04,2019-11-11,2026-12-30,2024-10-14,2019,2019,2645,7.241615331964408,51.517441,0.0,50.238204,0.0,1.0,25758720.5,True,False,False,True,False,Medium,5-10,2019,2010,Early Stage,3.900000000000001,0.6500000000000001
2026-08-31,IBRD89710,EAST ASIA AND PACIFIC,CN,China,MINISTRY OF FINANCE,CN,China,FSL,Disbursing&Repaying,0.0,,P158215,GRIP,130000000.0,0.0,35651629.07,93531210.94,3836657.67,89694553.27,5240041.2,94934594.47,0.0,0.0,0,125346182.34,2025-12-01,2048-06-01,2019-07-17,2019-06-04,2019-11-11,2026-12-30,2026-06-17,2019,2019,2645,7.241615331964408,71.94708533846153,0.0,27.424330053846152,0.0410200790884788,0.9589799209115212,93531210.94,True,False,False,True,False,Medium,5-10,2019,2010,Early Stage,3.900000000000001,0.6500000000000001
2026-08-31,IBRD90280,EAST ASIA AND PACIFIC,CN,China,MINISTRY OF FINANCE,CN,China,FSL,Fully Disbursed,0.0,,P164047,Forest Ecosystem in Yangtze River Basin,150000000.0,0.0,0.0,147449741.51,0.0,147449741.51,8529908.49,155979650.0,0.0,0.0,0,147449741.51,2029-03-01,2047-09-01,2020-02-10,2019-12-17,2020-05-07,2023-12-31,2024-05-21,2020,2019,2449,6.704996577686516,98.29982767333333,0.0,0.0,0.0,1.0,147449741.51,False,False,False,True,False,Medium,5-10,2019,2010,Early Stage,3.6000000000000005,0.6000000000000001
2026-08-31,IBRD90450,EAST ASIA AND PACIFIC,CN,China,MINISTRY OF FINANCE,CN,China,FSL,Fully Cancelled,0.0,,P168025,Sichuan Water Supply and Sanitation PPP,100000000.0,100000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2026-07-01,2045-01-01,2021-04-14,2020-03-03,1900-01-01,2026-12-31,,2020,2020,2372,6.494182067077344,0.0,100.0,0.0,0.0,0.0,-100000000.0,False,False,True,True,False,Medium,5-10,2020,2020,Cancelled,6.0,1.0
2026-08-31,IBRD90460,EAST ASIA AND PACIFIC,CN,China,MINISTRY OF FINANCE,CN,China,FSL,Disbursing,0.0,,P169758,Henan Green Agriculture Fund Project,300000000.0,200074850.3,20837517.35,78541089.2,0.0,78541089.2,3834693.45,82375782.65,0.0,0.0,0,99378606.55,2029-09-15,2045-03-15,2021-06-16,2020-03-26,2021-10-14,2026-12-31,2026-05-26,2020,2020,2349,6.431211498973306,26.18036306666667,66.69161676666667,6.945839116666668,0.0,1.0,-121533761.1,True,False,False,True,False,Large,5-10,2020,2020,Early Stage,4.500000000000001,0.7500000000000001
2026-08-31,IBRD90840,EAST ASIA AND PACIFIC,CN,China,MINISTRY OF FINANCE,CN,China,FSL,Disbursing&Repaying,0.0,,P173746,Emerging Infectious Disease PPR,300000000.0,19000000.0,194777022.56,86222977.44,944459.27,85278518.17,0.0,85278518.17,0.0,0.0,0,280055540.73,2025-09-01,2050-03-01,2022-06-17,2020-06-18,2022-08-31,2027-12-31,2026-06-29,2020,2020,2265,6.201232032854209,28.74099248,6.333333333333334,64.92567418666667,0.0109536842503173,0.9890463157496826,67222977.44,True,False,False,True,False,Large,5-10,2020,2020,Early Stage,3.900000000000001,0.6500000000000001
2026-08-31,IBRD90900,EAST ASIA AND PACIFIC,CN,China,MINISTRY OF FINANCE,CN,China,FSL,Disbursing&Repaying,0.0,,P168061,HUBEI SMART & SUSTAINABLE AGRICULTURE,150000000.0,40000000.0,23507119.0,91825009.5,1702102.46,90122907.04,779968.71,90902875.75,0.0,0.0,0,113630026.04,2025-09-01,2045-03-01,2021-06-15,2020-05-21,2021-08-24,2026-04-30,2026-08-31,2020,2020,2293,6.277891854893908,61.216673,26.666666666666668,15.671412666666669,0.0185363711832776,0.9814636288167224,51825009.5,True,False,False,True,False,Medium,5-10,2020,2020,Early Stage,4.500000000000001,0.7500000000000001
2026-08-31,IBRD91190,EAST ASIA AND PACIFIC,CN,China,MINISTRY OF FINANCE,CN,China,FSL,Disbursing,0.0,,P158079,Jiangxi EIP Project,200000000.0,93000000.0,38122322.4,68877677.6,0.0,68877677.6,0.0,68877677.6,0.0,0.0,0,107000000.0,2029-12-01,2050-06-01,2020-07-23,2020-06-18,2020-10-16,2028-03-31,2026-06-22,2020,2020,2265,6.201232032854209,34.4388388,46.5,19.0611612,0.0,1.0,-24122322.40000001,True,False,False,True,False,Large,5-10,2020,2020,Early Stage,4.500000000000001,0.7500000000000001
2026-08-31,IBRD92000,EAST ASIA AND PACIFIC,CN,China,MINISTRY OF FINANCE,CN,China,FSL,Disbursing&Repaying,0.0,,P172325,Hunan Institutional Enhancement PforR,200000000.0,0.0,0.0,182894374.11,4844330.29,178050043.82,10665188.59,188715232.41,0.0,0.0,0,178050043.82,2026-06-15,2044-12-15,2021-03-08,2021-02-23,2021-06-04,2026-12-31,2026-06-18,2021,2021,2015,5.516769336071184,91.447187055,0.0,0.0,0.0264870382895781,0.9735129617104218,182894374.11,True,False,False,True,False,Large,5-10,2021,2020,Early Stage,3.900000000000001,0.6500000000000001
2026-08-31,IBRD92130,EAST ASIA AND PACIFIC,CN,China,MINISTRY OF FINANCE,CN,China,FSL,Disbursing,0.0,,P162178,China Food Safety Improvement Project,300000000.0,22359000.0,273641000.0,4000000.0,0.0,4000000.0,0.0,4000000.0,0.0,0.0,0,277641000.0,2027-06-01,2050-12-01,2023-12-22,2021-03-25,2024-03-21,2029-03-31,2026-05-26,2021,2021,1985,5.434633812457221,1.3333333333333337,7.453,91.21366666666668,0.0,1.0,-18359000.0,True,False,False,True,False,Large,5-10,2021,2020,Early Stage,4.500000000000001,0.7500000000000001
2026-08-31,IBRD92140,EAST ASIA AND PACIFIC,CN,China,MINISTRY OF FINANCE,CN,China,FSL,Disbursing,0.0,,P162178,China Food Safety Improvement Project,50000000.0,0.0,47285700.0,2714300.0,0.0,2714300.0,0.0,2714300.0,0.0,0.0,0,50000000.0,2031-06-01,2050-12-01,2023-12-22,2021-03-25,2024-03-21,2029-03-31,2026-06-30,2021,2021,1985,5.434633812457221,5.4286,0.0,94.5714,0.0,1.0,2714300.0,True,False,False,True,False,Medium,5-10,2021,2020,Early Stage,4.500000000000001,0.7500000000000001
2026-08-31,IBRD92150,EAST ASIA AND PACIFIC,CN,China,MINISTRY OF FINANCE,CN,China,FSL,Effective,0.0,,P162178,China Food Safety Improvement Project,50000000.0,50000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2040-12-01,2040-12-01,2023-12-22,2021-03-25,2024-03-21,2029-03-31,,2021,2021,1985,5.434633812457221,0.0,100.0,0.0,0.0,0.0,-50000000.0,True,False,False,True,False,Medium,5-10,2021,2020,Early Stage,3.3000000000000003,0.55
2026-08-31,IBRD92640,EAST ASIA AND PACIFIC,CN,China,MINISTRY OF FINANCE,CN,China,FSL,Disbursing,0.0,,P174267,China Plastic Waste Reduction Project,270000000.0,0.0,235704295.74,23590638.82,0.0,23590638.82,13985.44,23604624.26,0.0,0.0,0,259294934.56,2028-09-01,2049-03-01,2022-12-13,2021-06-24,2023-03-08,2028-12-31,2026-08-19,2021,2021,1894,5.1854893908282,8.737273637037037,0.0,87.29788731111111,0.0,1.0,23590638.82,True,False,False,True,False,Large,5-10,2021,2020,Early Stage,4.500000000000001,0.7500000000000001
2026-08-31,IBRD92650,EAST ASIA AND PACIFIC,CN,China,MINISTRY OF FINANCE,CN,China,FSL,Fully Cancelled,0.0,,P174267,China Plastic Waste Reduction Project,10000000.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2027-09-01,2051-03-01,2022-12-13,2021-06-24,2023-03-08,2028-12-31,,2021,2021,1894,5.1854893908282,0.0,100.0,0.0,0.0,0.0,-10000000.0,False,False,True,True,False,Small,5-10,2021,2020,Cancelled,6.0,1.0
2026-08-31,IBRD92660,EAST ASIA AND PACIFIC,CN,China,MINISTRY OF FINANCE,CN,China,FSL,Disbursing,0.0,,P174267,China Plastic Waste Reduction Project,150000000.0,0.0,102326084.71,47673915.29,0.0,47673915.29,0.0,47673915.29,0.0,0.0,0,150000000.0,2026-11-15,2051-05-15,2022-12-13,2021-06-24,2023-03-08,2028-12-31,2026-08-17,2021,2021,1894,5.1854893908282,31.782610193333333,0.0,68.21738980666666,0.0,1.0,47673915.29,True,False,False,True,False,Medium,5-10,2021,2020,Early Stage,3.900000000000001,0.6500000000000001
2026-08-31,IBRD93070,EAST ASIA AND PACIFIC,CN,China,MINISTRY OF FINANCE,CN,China,FSL,Disbursing,0.0,,P171644,Yangtze Protection & EcoEnv Restoration,196250000.0,0.0,104773282.42,91476717.58,0.0,91476717.58,0.0,91476717.58,0.0,0.0,0,196250000.0,2030-03-15,2049-09-15,2023-08-20,2021-12-17,2024-01-16,2027-06-30,2025-12-12,2022,2021,1718,4.70362765229295,46.61234016815287,0.0,53.38765983184713,0.0,1.0,91476717.58,True,False,False,True,False,Medium,0-5,2021,2020,Early Stage,3.900000000000001,0.6500000000000001
2026-08-31,IBRD93080,EAST ASIA AND PACIFIC,CN,China,MINISTRY OF FINANCE,CN,China,FSL,Disbursing,0.0,,P171644,Yangtze Protection & EcoEnv Restoration,196250000.0,0.0,74679583.9,118162487.64,0.0,118162487.64,2567378.46,120729866.1,0.0,0.0,0,192842071.54,2029-06-15,2049-12-15,2023-08-20,2021-12-17,2024-01-16,2027-06-30,2025-12-19,2022,2021,1718,4.70362765229295,60.21018478471337,0.0,38.05329115923567,0.0,1.0,118162487.64,True,False,False,True,False,Medium,0-5,2021,2020,Early Stage,3.900000000000001,0.6500000000000001
2026-08-31,IBRD93540,EAST ASIA AND PACIFIC,CN,China,MINISTRY OF FINANCE,CN,China,FSL,Disbursing,0.0,,P172806,Yellow River Basin Program,380000000.0,5000000.0,281003313.42,93996686.58,0.0,93996686.58,0.0,93996686.58,0.0,0.0,0,375000000.0,2028-06-01,2051-12-01,2024-01-10,2022-03-31,2024-08-02,2029-06-30,2026-08-31,2022,2022,1614,4.418891170431212,24.735970152631577,1.3157894736842104,73.94824037368421,0.0,1.0,88996686.58,True,False,False,True,False,Large,0-5,2022,2020,Early Stage,3.900000000000001,0.6500000000000001
2026-08-31,IBRD93570,EAST ASIA AND PACIFIC,CN,China,MINISTRY OF FINANCE,CN,China,FSL,Disbursing,0.0,,P177590,GARRP-phase I,170000000.0,0.0,108837845.0,65733507.5,0.0,65733507.5,1471107.5,67204615.0,0.0,0.0,0,174571352.5,2028-04-15,2051-10-15,2023-12-29,2022-03-31,2024-03-27,2028-06-30,2026-08-14,2022,2022,1614,4.418891170431212,38.66676911764706,0.0,64.02226176470587,0.0,1.0,65733507.5,True,False,False,True,False,Medium,0-5,2022,2020,Early Stage,3.900000000000001,0.6500000000000001
2026-08-31,IBRD93580,EAST ASIA AND PACIFIC,CN,China,MINISTRY OF FINANCE,CN,China,FSL,Disbursing,0.0,,P177590,GARRP-phase I,150000000.0,0.0,96440539.57,53559460.43,0.0,53559460.43,0.0,53559460.43,0.0,0.0,0,150000000.0,2028-04-15,2051-10-15,2023-12-29,2022-03-31,2024-03-27,2028-06-30,2025-12-22,2022,2022,1614,4.418891170431212,35.70630695333333,0.0,64.29369304666666,0.0,1.0,53559460.43,True,False,False,True,False,Medium,0-5,2022,2020,Early Stage,3.900000000000001,0.6500000000000001
2026-08-31,IBRD94700,EAST ASIA AND PACIFIC,CN,China,MINISTRY OF FINANCE,CN,China,FSL,Disbursing,0.0,,P176989,Plastic Waste Reduction Project(Shaanxi),250000000.0,0.0,229285256.29,20714743.71,0.0,20714743.71,0.0,20714743.71,0.0,0.0,0,250000000.0,2029-09-01,2052-03-01,2023-07-20,2023-03-23,2024-02-19,2029-12-31,2026-05-15,2023,2023,1257,3.4414784394250515,8.285897484,0.0,91.714102516,0.0,1.0,20714743.71,True,False,False,True,False,Large,0-5,2023,2020,Early Stage,4.500000000000001,0.7500000000000001
2026-08-31,IBRD94990,EAST ASIA AND PACIFIC,CN,China,MINISTRY OF FINANCE,CN,China,FSL,Disbursing,0.0,,P178338,YRPERP (Hubei),200000000.0,0.0,154440596.0,45559404.0,0.0,45559404.0,0.0,45559404.0,0.0,0.0,0,200000000.0,2028-04-15,2047-10-15,2023-11-22,2023-03-30,2024-02-20,2028-12-31,2026-06-22,2023,2023,1250,3.4223134839151266,22.779702,0.0,77.220298,0.0,1.0,45559404.0,True,False,False,True,False,Large,0-5,2023,2020,Early Stage,3.900000000000001,0.6500000000000001
2026-08-31,IBRD95000,EAST ASIA AND PACIFIC,CN,China,MINISTRY OF FINANCE,CN,China,FSL,Effective,0.0,,P178907,GARR PforR (Hubei and Hunan),170000000.0,0.0,170000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,170000000.0,2028-10-15,2048-04-15,2025-03-13,2023-04-28,2025-06-10,2029-06-29,,2023,2023,1221,3.342915811088296,0.0,0.0,100.0,0.0,0.0,0.0,True,False,False,True,False,Medium,0-5,2023,2020,Early Stage,3.3000000000000003,0.55
2026-08-31,IBRD95010,EAST ASIA AND PACIFIC,CN,China,MINISTRY OF FINANCE,CN,China,FSL,Disbursing,0.0,,P178907,GARR PforR (Hubei and Hunan),170000000.0,0.0,149705673.0,36340924.0,0.0,36340924.0,-146687.0,36194237.0,0.0,0.0,0,186046597.0,2029-06-15,2046-12-15,2025-03-13,2023-04-28,2025-06-10,2029-06-29,2026-06-02,2023,2023,1221,3.342915811088296,21.377014117647057,0.0,88.0621605882353,0.0,1.0,36340924.0,True,False,False,True,False,Medium,0-5,2023,2020,Early Stage,4.500000000000001,0.7500000000000001
2026-08-31,IBRD95230,EAST ASIA AND PACIFIC,CN,China,MINISTRY OF FINANCE,CN,China,FSL,Disbursing,0.0,,P178796,Methane-Reducing Water-Saving Paddy Rice,255000000.0,154999999.66,80053413.74,26943141.29,0.0,26943141.29,-258676.23,26684465.06,0.0,0.0,0,106996555.03,2029-06-15,2046-12-15,2025-03-13,2023-05-31,2025-06-10,2029-12-31,2026-06-18,2023,2023,1188,3.252566735112936,10.565937760784314,60.784313592156856,31.39349558431373,0.0,1.0,-128056858.37,True,False,False,True,False,Large,0-5,2023,2020,Early Stage,4.500000000000001,0.7500000000000001
