Loan Number,Country / Economy,Region,Loan Type,Loan Status,Board Approval Date,Original Principal Amount (US$),Cancelled Amount (US$),Disbursed Amount (US$),Repaid to IBRD (US$),Due to IBRD (US$),Agreement Signing Date,Effective Date (Most Recent),Last Disbursement Date
LOAN-1049,India,South Asia,Agriculture,Fully Repaid,2014-09-07,387436040.57,0.0,197034313.86,81873392.52,33983361.5,2014-05-04,2015-03-23,2023-01-27
LOAN-1050,Bangladesh,Africa,Investment,Disbursing,2024-03-12,452445845.02,0.0,452445845.02,102725285.73,50415893.27,2023-12-04,2024-08-03,2026-07-22
LOAN-1051,Brazil,South Asia,Climate,Repaying,2021-03-29,570018980.97,0.0,318919090.79,5849618.93,93646571.14,2021-02-18,2022-02-10,2026-12-13
LOAN-1052,Egypt,Africa,Infrastructure,Disbursing,2007-05-07,461304368.52,0.0,246443239.27,134686835.49,281831246.36,2007-03-31,2008-03-28,2008-09-28
LOAN-1053,Nepal,Europe & Central Asia,Investment,Disbursing,2010-11-22,408021635.68,0.0,408021635.68,145659234.62,239207183.9,2010-05-18,2011-05-25,2014-06-05
LOAN-1054,Brazil,Africa,Education,Disbursing,2018-11-04,321983420.96,0.0,299192491.83,18568204.05,172472815.17,2018-09-28,2019-07-13,2027-10-15
LOAN-1055,Egypt,Latin America,Education,Cancelled,2021-09-08,264114851.28,121847985.72,260690930.58,226521220.91,66705321.53,2021-02-23,2022-08-07,2028-07-11
LOAN-1056,Vietnam,Latin America,Infrastructure,Fully Repaid,2016-12-31,499284956.24,0.0,234329567.51,185933028.64,116282257.74,2016-12-14,2017-10-10,2025-02-09
LOAN-1057,Mexico,East Asia,Health,Disbursing&Repaying,2012-05-23,131211310.86,0.0,131211310.86,40190675.17,93191519.43,2012-05-11,2013-03-13,2017-07-01
LOAN-1058,Kenya,Latin America,Education,Disbursing&Repaying,2022-01-06,433444425.14,0.0,342794845.23,233905441.54,246177797.36,2021-12-23,2022-03-24,2029-06-08
LOAN-1059,Philippines,East Asia,Education,Cancelled,2015-06-03,416613357.4,332448659.65,268700960.78,140638090.07,168705648.73,2015-01-04,2015-12-19,2024-02-18
LOAN-1060,Egypt,Africa,Climate,Disbursing&Repaying,2024-01-14,187440679.85,0.0,109546037.7,71112456.49,53731924.86,2023-11-18,2024-05-21,2029-09-16
LOAN-1061,Tanzania,Africa,Infrastructure,Disbursing,2008-09-15,436128075.65,0.0,436128075.65,205927981.33,114374163.69,2008-07-09,2009-04-17,2013-07-20
LOAN-1062,Nepal,South Asia,Climate,Effective,2005-08-30,426270999.0,0.0,213675315.4,8753023.59,38745695.79,2005-04-17,2005-11-20,2006-10-04
LOAN-1063,Nepal,East Asia,Investment,Fully Repaid,2005-02-12,289834954.12,0.0,194932772.31,169386419.02,69374544.75,2004-10-23,2005-11-20,2007-08-07
LOAN-1064,Brazil,Latin America,Health,Disbursing,2018-09-01,93772562.76,0.0,79732154.26,21802913.91,74590315.29,2018-03-23,2019-08-13,2024-07-19
LOAN-1065,Peru,East Asia,Health,Effective,2002-09-13,273056106.61,0.0,205932581.58,159422707.87,216403366.38,2002-02-26,2002-12-02,2008-03-07
LOAN-1066,Pakistan,Africa,Education,Disbursing,2018-04-29,397954741.63,0.0,209183188.67,32722985.04,42302052.46,2017-10-25,2019-03-29,2029-09-07
LOAN-1067,Nepal,South Asia,Infrastructure,Disbursing&Repaying,2010-06-21,142728359.56,0.0,137813460.53,87193033.28,55738777.78,2010-01-02,2011-05-18,2015-09-23
LOAN-1068,Colombia,South Asia,Agriculture,Disbursing,2002-09-04,329014615.33,0.0,302070877.65,246964178.27,220431030.53,2002-06-08,2003-08-04,2016-04-05
LOAN-1069,Nepal,East Asia,Education,Cancelled,2024-03-22,78990426.61,36545340.96,75115345.31,47304663.63,59796320.14,2023-10-11,2024-05-11,2034-09-25
LOAN-1070,Vietnam,Europe & Central Asia,Climate,Cancelled,2000-12-05,153968901.94,106677776.68,72836761.14,63056240.27,104232167.48,2000-07-01,2001-01-24,2005-09-05
LOAN-1071,Tanzania,Europe & Central Asia,Investment,Disbursing&Repaying,2022-01-21,392648146.21,0.0,392648146.21,64135239.49,192003851.53,2021-09-13,2022-08-17,2032-01-14
LOAN-1072,Vietnam,Africa,Health,Effective,2017-12-18,403729438.17,0.0,403729438.17,119836303.02,230228833.91,2017-11-29,2018-09-06,2020-10-04
LOAN-1073,Vietnam,Africa,Education,Disbursing,2024-05-03,197347902.83,0.0,197347902.83,71786789.89,86033263.54,2024-01-09,2024-06-29,2029-05-13
LOAN-1074,Peru,Africa,Agriculture,Effective,2024-08-20,375467154.2,0.0,299921090.91,119319665.1,33307252.47,2024-05-29,2025-05-01,2036-04-29
LOAN-1075,Indonesia,South Asia,Health,Cancelled,2000-08-12,584022355.41,259769880.39,518084674.29,111578713.05,98573408.97,2000-06-06,2000-11-08,2011-10-14
LOAN-1076,Indonesia,Latin America,Agriculture,Fully Repaid,2021-03-07,301533425.3,0.0,293477254.49,134408125.68,76911730.52,2020-11-01,2022-01-13,2025-03-30
LOAN-1077,Bangladesh,Latin America,Infrastructure,Effective,2018-08-12,553511549.21,0.0,446458382.31,353324319.65,386362242.74,2018-03-26,2019-01-25,2019-06-29
LOAN-1078,Nepal,Africa,Education,Fully Repaid,2024-02-28,503298173.95,0.0,434818773.69,258259166.06,351777966.68,2023-11-22,2024-09-15,2037-05-11
LOAN-1079,Jordan,East Asia,Agriculture,Cancelled,2017-03-06,275930047.04,196905829.84,181402450.32,30799802.56,158142082.81,2016-11-11,2017-04-27,2025-02-18
LOAN-1080,Tanzania,East Asia,Agriculture,Fully Repaid,2001-08-29,234716857.73,0.0,218509908.35,161407325.07,184396756.52,2001-04-13,2002-07-27,2009-12-04
LOAN-1081,Indonesia,East Asia,Investment,Disbursing&Repaying,2006-12-04,64328460.16,0.0,64328460.16,888558.61,10171394.96,2006-07-27,2007-05-18,2015-05-04
LOAN-1082,Bangladesh,South Asia,Health,Effective,2021-11-20,511800348.95,0.0,511800348.95,395830466.75,171456724.14,2021-11-01,2022-11-01,2024-03-29
LOAN-1083,Philippines,Africa,Education,Disbursing&Repaying,2004-07-04,598468424.16,0.0,596920242.24,233141720.53,74109748.24,2004-05-13,2005-07-24,2012-01-17
LOAN-1084,India,South Asia,Education,Repaying,2023-10-29,198002926.73,0.0,88090587.82,28419521.88,73858079.71,2023-05-28,2024-11-11,2028-09-07
LOAN-1085,Mexico,Latin America,Agriculture,Cancelled,2006-06-02,51986168.64,24781284.03,51986168.64,28994730.96,11989172.06,2006-03-19,2007-02-22,2012-12-18
LOAN-1086,India,East Asia,Climate,Effective,2013-06-02,541219607.04,0.0,509876880.64,72493305.66,206365595.28,2013-02-04,2014-06-20,2019-11-06
LOAN-1087,Egypt,Africa,Health,Cancelled,2016-02-07,123534114.47,46637023.13,87431837.67,38022991.88,28153952.97,2015-08-02,2016-08-06,2017-05-31
LOAN-1088,Bangladesh,Africa,Infrastructure,Cancelled,2022-04-13,9818289.63,6533527.69,9818289.63,6877519.98,7660250.31,2022-02-04,2023-03-19,2031-01-02
LOAN-1089,Philippines,Latin America,Climate,Repaying,2004-05-10,374430242.06,0.0,352792505.07,228904315.18,203834639.88,2003-11-17,2004-06-29,2012-02-08
LOAN-1090,Egypt,South Asia,Agriculture,Disbursing&Repaying,2018-08-21,349846414.19,0.0,344909316.65,27979056.93,94924820.68,2018-06-21,2018-11-26,2031-07-22
LOAN-1091,Ghana,Europe & Central Asia,Climate,Fully Repaid,2013-03-28,303567883.55,0.0,187611594.27,27783396.93,223285323.89,2012-12-22,2013-06-24,2024-07-24
LOAN-1092,Kenya,Latin America,Investment,Fully Repaid,2016-05-28,453720138.37,0.0,263380800.11,160317615.37,252179773.02,2016-02-07,2016-07-04,2023-02-27
LOAN-1093,Jordan,South Asia,Investment,Disbursing&Repaying,2016-08-30,275597686.5,0.0,258583030.97,156470329.1,134607440.99,2016-03-01,2017-01-26,2028-01-22
LOAN-1094,India,Europe & Central Asia,Climate,Disbursing,2020-10-28,531119732.9,0.0,450987524.29,371492096.74,114735352.78,2020-08-02,2021-10-25,2030-10-20
LOAN-1095,Indonesia,Latin America,Agriculture,Repaying,2024-02-11,31981352.55,0.0,13744616.37,12319775.73,4384335.15,2023-10-25,2024-10-30,2033-04-03
LOAN-1096,Jordan,East Asia,Infrastructure,Fully Repaid,2018-04-22,354467505.6,0.0,347831633.02,277177430.11,191834773.81,2018-04-04,2019-05-10,2027-06-09
LOAN-1097,Pakistan,East Asia,Climate,Effective,2024-06-03,269594036.57,0.0,158761262.01,51822443.9,211818899.2,2024-02-23,2024-08-03,2034-03-04
LOAN-1098,Nigeria,Latin America,Investment,Repaying,2000-12-15,581083091.18,0.0,581083091.18,431031151.45,69006561.93,2000-09-11,2001-05-18,2004-08-07
LOAN-1099,Pakistan,South Asia,Agriculture,Repaying,2014-09-27,498741613.14,0.0,420621834.41,221980975.45,329064597.19,2014-04-18,2014-10-28,2021-10-11
LOAN-1100,Morocco,Latin America,Infrastructure,Repaying,2000-08-31,326428196.83,0.0,326428196.83,32294753.57,228446176.26,2000-06-22,2001-07-28,2008-09-30
LOAN-1101,India,Latin America,Education,Disbursing,2021-05-12,162893667.45,0.0,81675998.23,30944136.33,22029247.66,2021-01-30,2022-02-28,2024-08-17
LOAN-1102,Egypt,Europe & Central Asia,Infrastructure,Disbursing&Repaying,2023-05-23,136822105.07,0.0,122057011.77,79888596.36,100094094.45,2023-01-16,2024-05-16,2024-11-28
LOAN-1103,Brazil,East Asia,Investment,Fully Repaid,2003-04-19,509142633.18,0.0,377284311.66,36659074.14,297492542.67,2003-01-17,2004-03-25,2007-06-12
LOAN-1104,Kenya,Latin America,Infrastructure,Cancelled,2023-10-19,168634519.74,79634152.87,152860679.38,75439923.35,49559844.28,2023-05-08,2024-06-25,2026-11-04
LOAN-1105,Indonesia,Europe & Central Asia,Education,Effective,2020-05-05,433899750.41,0.0,248198664.01,100867794.18,96052466.19,2020-01-10,2020-07-22,2028-03-04
LOAN-1106,Colombia,Africa,Investment,Disbursing,2004-02-03,400739178.52,0.0,280293339.13,38505306.51,297444157.68,2004-01-01,2004-10-11,2007-01-29
LOAN-1107,Ghana,Latin America,Infrastructure,Disbursing,2018-06-05,336040587.69,0.0,292077091.93,147623874.0,99882851.38,2017-12-07,2019-02-06,2020-05-26
LOAN-1108,Nepal,Europe & Central Asia,Investment,Fully Repaid,2010-01-22,190907094.96,0.0,92185304.44,42098382.11,31699671.03,2009-10-15,2010-12-02,2019-02-15
LOAN-1109,Indonesia,Africa,Health,Cancelled,2001-03-06,346589502.58,262524417.88,346589502.58,263629716.27,270655191.68,2000-08-31,2001-08-19,2002-08-25
LOAN-1110,Mexico,Africa,Investment,Repaying,2017-12-23,423105769.86,0.0,273828871.65,83748422.09,23092834.54,2017-11-07,2018-12-12,2019-06-27
LOAN-1111,Kenya,Europe & Central Asia,Health,Disbursing&Repaying,2014-07-20,133004063.62,0.0,97873167.62,30028112.61,43564126.97,2014-02-08,2014-10-01,2016-07-19
LOAN-1112,Morocco,Latin America,Health,Fully Repaid,2021-10-14,453889348.08,0.0,199625071.43,14657146.43,173537661.69,2021-06-13,2022-06-13,2028-09-24
LOAN-1113,Pakistan,Europe & Central Asia,Climate,Fully Repaid,2023-08-21,72721417.33,0.0,54099709.93,13791196.68,40641432.43,2023-05-25,2023-10-13,2029-05-27
LOAN-1114,Bangladesh,Europe & Central Asia,Infrastructure,Effective,2012-12-25,37595265.32,0.0,21186379.41,18025195.3,23516295.07,2012-11-15,2013-01-27,2024-12-16
LOAN-1115,Colombia,Latin America,Investment,Disbursing&Repaying,2015-11-20,81865492.55,0.0,67626290.0,14005380.62,38398409.68,2015-08-01,2016-01-10,2026-06-28
LOAN-1116,India,East Asia,Infrastructure,Disbursing&Repaying,2018-09-26,553091648.53,0.0,553091648.53,286602825.03,265511513.5,2018-08-18,2019-05-21,2020-01-09
LOAN-1117,Vietnam,Latin America,Investment,Disbursing,2019-08-04,481786681.81,0.0,430958288.37,322711617.04,356438946.63,2019-05-24,2020-04-13,2029-05-23
LOAN-1118,Peru,South Asia,Health,Repaying,2003-06-05,240481184.63,0.0,155884629.21,47632411.75,72096611.91,2002-12-15,2003-09-01,2016-02-23
LOAN-1119,Peru,Latin America,Investment,Repaying,2010-08-07,544024025.29,0.0,369664440.72,241997571.26,361346987.29,2010-06-21,2011-01-15,2015-11-05
LOAN-1120,Mexico,Europe & Central Asia,Education,Disbursing&Repaying,2022-03-01,95957524.46,0.0,95957524.46,6507642.23,73260605.36,2021-09-28,2023-01-21,2033-01-19
LOAN-1121,Vietnam,Africa,Infrastructure,Effective,2002-07-09,94819653.83,0.0,43107765.05,17156341.19,26275979.32,2002-02-20,2002-09-14,2010-04-20
LOAN-1122,Egypt,East Asia,Education,Disbursing,2022-09-29,27376311.11,0.0,19026264.64,4915803.24,14605257.93,2022-05-24,2023-08-22,2035-12-30
LOAN-1123,Brazil,East Asia,Investment,Cancelled,2006-10-07,545884724.16,256737154.69,468000811.74,79286600.21,274991818.34,2006-07-02,2007-11-06,2009-06-23
LOAN-1124,Peru,Latin America,Infrastructure,Cancelled,2007-02-13,28289565.09,11986605.27,27330474.25,24375706.17,12533731.84,2006-11-23,2007-09-29,2017-02-08
LOAN-1125,Vietnam,Europe & Central Asia,Infrastructure,Cancelled,2017-05-04,36157482.93,12698416.56,32712009.61,9852347.4,10748465.04,2016-11-07,2018-04-07,2021-07-13
LOAN-1126,Vietnam,South Asia,Agriculture,Disbursing&Repaying,2017-07-31,351730011.18,0.0,180487689.18,56824511.01,272862428.16,2017-02-19,2018-08-27,2020-04-20
LOAN-1127,Nepal,Europe & Central Asia,Investment,Disbursing&Repaying,2023-08-12,229124187.1,0.0,229124187.1,167688272.3,126611115.92,2023-02-18,2024-08-19,2033-12-05
LOAN-1128,Peru,Africa,Agriculture,Fully Repaid,2008-08-11,15847169.99,0.0,10254590.49,8778466.61,4853976.42,2008-06-27,2008-11-28,2011-03-01
LOAN-1129,Nepal,South Asia,Health,Disbursing&Repaying,2015-02-08,307075379.07,0.0,255430399.83,169804919.72,136617443.76,2014-12-27,2016-01-09,2024-05-17
LOAN-1130,Morocco,Latin America,Investment,Disbursing&Repaying,2019-08-19,112603350.47,0.0,107454732.6,60418189.1,81861733.5,2019-04-26,2020-03-22,2025-10-11
LOAN-1131,Egypt,Europe & Central Asia,Agriculture,Effective,2021-01-14,174532119.88,0.0,174327780.2,70434553.74,78628179.49,2020-10-02,2022-01-26,2034-08-26
LOAN-1132,Egypt,East Asia,Health,Repaying,2008-12-15,462815938.43,0.0,462815938.43,209477909.13,168462974.47,2008-10-31,2009-05-22,2010-12-12
LOAN-1133,Tanzania,Africa,Agriculture,Effective,2003-10-06,334951743.53,0.0,161470785.02,122928200.97,230572251.05,2003-07-19,2004-06-22,2016-02-05
LOAN-1134,Morocco,East Asia,Investment,Disbursing,2018-08-11,59569573.95,0.0,59569573.95,43785598.49,42501242.74,2018-04-22,2019-05-25,2027-10-26
LOAN-1135,Philippines,East Asia,Agriculture,Disbursing&Repaying,2015-01-15,596742583.99,0.0,417678119.6,10595988.91,446434720.93,2014-12-01,2015-03-05,2022-04-18
LOAN-1136,Tanzania,Latin America,Agriculture,Disbursing,2011-06-25,456510487.09,0.0,353927148.95,196009608.84,332975607.04,2011-05-08,2012-04-30,2024-02-20
LOAN-1137,Colombia,South Asia,Investment,Disbursing&Repaying,2020-07-03,466822716.42,0.0,275477771.47,30209859.52,106822868.35,2020-05-26,2021-04-14,2033-05-07
LOAN-1138,India,Europe & Central Asia,Health,Effective,2010-10-16,347153237.23,0.0,338417286.48,88714328.16,17764960.07,2010-06-22,2011-02-18,2013-07-13
LOAN-1139,Peru,Africa,Education,Cancelled,2000-11-29,45269197.13,32774847.26,37159109.84,16966661.04,35819189.5,2000-11-08,2001-11-19,2010-05-30
LOAN-1140,Ghana,Africa,Health,Disbursing&Repaying,2004-08-25,449653371.98,0.0,308316121.34,18746730.72,103799982.33,2004-02-09,2005-03-13,2008-06-17
LOAN-1141,Brazil,Africa,Climate,Fully Repaid,2021-06-19,329878178.4,0.0,329878178.4,51982274.06,209260513.51,2021-04-24,2021-09-26,2023-09-13
LOAN-1142,Egypt,South Asia,Education,Effective,2023-02-13,179598329.85,0.0,78133359.1,14026723.33,14624594.38,2022-09-17,2023-11-12,2029-08-15
LOAN-1143,Brazil,Latin America,Infrastructure,Effective,2005-08-01,175235982.85,0.0,175235982.85,7539288.23,94942597.15,2005-04-02,2006-03-23,2016-04-07
LOAN-1144,Bangladesh,Africa,Investment,Cancelled,2011-12-18,584365532.67,371801865.77,465717463.3,208534799.05,434319660.27,2011-11-18,2012-08-24,2016-10-30
LOAN-1145,Jordan,Africa,Agriculture,Cancelled,2019-02-11,196120799.79,120390495.5,91010863.02,54135745.86,54888699.31,2018-11-04,2019-10-27,2020-11-18
LOAN-1146,Ghana,Europe & Central Asia,Infrastructure,Disbursing,2018-03-22,598899605.67,0.0,371104719.78,327323473.94,455719649.21,2017-11-01,2019-04-03,2022-08-18
LOAN-1147,India,Latin America,Infrastructure,Repaying,2016-06-06,509958239.43,0.0,480620901.65,189535516.38,73776942.69,2016-02-19,2017-04-22,2017-12-23
LOAN-1148,Morocco,East Asia,Education,Cancelled,2016-06-17,569549999.91,221344936.83,397324175.71,272872717.88,273635361.6,2016-03-28,2016-11-21,2019-10-29
LOAN-1149,India,Latin America,Agriculture,Effective,2020-01-07,301931156.35,0.0,214247300.26,108303175.72,74375458.82,2019-07-25,2020-07-01,2031-11-08
LOAN-1150,Pakistan,South Asia,Climate,Disbursing,2014-05-03,85758408.55,0.0,39383831.44,6119882.22,50171020.56,2014-01-25,2015-05-31,2016-08-11
LOAN-1151,Jordan,Europe & Central Asia,Infrastructure,Disbursing&Repaying,2007-10-23,177765558.25,0.0,113763796.39,16126555.6,103490280.51,2007-06-05,2008-03-15,2011-05-09
LOAN-1152,Pakistan,Latin America,Health,Fully Repaid,2005-10-27,145858029.65,0.0,115988864.98,37673980.42,69896342.74,2005-09-25,2005-12-29,2013-07-30
LOAN-1153,Bangladesh,East Asia,Education,Effective,2003-04-30,317788914.62,0.0,317788914.62,235483320.72,33467314.99,2002-12-22,2004-05-12,2015-10-02
LOAN-1154,Ghana,Latin America,Health,Repaying,2019-05-29,527386290.23,0.0,527386290.23,303676692.23,98342962.17,2019-05-05,2019-08-30,2031-11-06
LOAN-1155,Morocco,Africa,Investment,Cancelled,2012-09-27,102970962.53,36077234.44,67768135.51,43263104.47,31871295.51,2012-04-08,2013-08-05,2019-09-19
LOAN-1156,Morocco,Africa,Agriculture,Cancelled,2006-12-01,370584825.59,220586809.32,175932450.13,101493439.73,183015663.4,2006-05-21,2007-11-05,2015-04-23
LOAN-1157,Brazil,South Asia,Health,Repaying,2018-09-08,53327598.66,0.0,53327598.66,37005094.3,13251477.96,2018-03-19,2018-10-23,2030-09-04
LOAN-1158,Jordan,Africa,Education,Fully Repaid,2013-05-05,386934837.13,0.0,248286523.97,54719896.71,253640423.47,2013-04-07,2014-05-22,2015-07-04
