loan_number,predicted_probability,risk_band
LOAN-1603,0.98120373,High
LOAN-1920,0.9811585,High
LOAN-1529,0.9810526,High
LOAN-1001,0.98103243,High
LOAN-1489,0.98103046,High
LOAN-2082,0.9808173,High
LOAN-1664,0.9807107,High
LOAN-2145,0.98069626,High
LOAN-1341,0.9805683,High
LOAN-1760,0.98051745,High
LOAN-2130,0.9797441,High
LOAN-1062,0.9797412,High
LOAN-1028,0.97946715,High
LOAN-1289,0.9790303,High
LOAN-1523,0.9786937,High
LOAN-1914,0.97855926,High
LOAN-2037,0.97820765,High
LOAN-1878,0.9778064,High
LOAN-2060,0.9776393,High
LOAN-2061,0.97752964,High
LOAN-1658,0.97748154,High
LOAN-1907,0.9773326,High
LOAN-1391,0.9772718,High
LOAN-1515,0.9771539,High
LOAN-1325,0.9771482,High
LOAN-1406,0.9770265,High
LOAN-1859,0.9769652,High
LOAN-1724,0.97672164,High
LOAN-1077,0.9764647,High
LOAN-2165,0.9754157,High
LOAN-1553,0.9751322,High
LOAN-1051,0.9750787,High
LOAN-1203,0.97488064,High
LOAN-1143,0.9748573,High
LOAN-2176,0.97466666,High
LOAN-1734,0.97466385,High
LOAN-1840,0.974212,High
LOAN-1612,0.97417325,High
LOAN-1904,0.97408223,High
LOAN-1668,0.9739179,High
LOAN-2182,0.97360194,High
LOAN-1722,0.9733828,High
LOAN-1763,0.9730575,High
LOAN-1187,0.9723532,High
LOAN-1850,0.9722199,High
LOAN-1852,0.9718382,High
LOAN-1623,0.9717953,High
LOAN-1110,0.9714562,High
LOAN-1631,0.97131705,High
LOAN-2179,0.97131485,High
LOAN-1354,0.97107637,High
LOAN-1004,0.97089696,High
LOAN-1126,0.9707318,High
LOAN-1653,0.97007227,High
LOAN-1923,0.9698967,High
LOAN-1822,0.9693667,High
LOAN-2025,0.9689113,High
LOAN-1986,0.9686903,High
LOAN-1546,0.9686728,High
LOAN-1448,0.9681028,High
LOAN-1445,0.96749395,High
LOAN-1468,0.96728355,High
LOAN-1382,0.9671441,High
LOAN-1568,0.9669524,High
LOAN-1783,0.9668104,High
LOAN-1756,0.9661845,High
LOAN-1501,0.96605664,High
LOAN-2074,0.96601295,High
LOAN-1911,0.9656902,High
LOAN-1892,0.9656303,High
LOAN-1208,0.9655403,High
LOAN-1495,0.9655397,High
LOAN-1331,0.9651815,High
LOAN-1954,0.9651451,High
LOAN-1703,0.96447146,High
LOAN-2065,0.9643003,High
LOAN-1111,0.96414584,High
LOAN-2059,0.96412826,High
LOAN-2126,0.96412826,High
LOAN-1304,0.9639386,High
LOAN-1948,0.96323264,High
LOAN-1727,0.9631142,High
LOAN-1847,0.9628744,High
LOAN-1980,0.9623528,High
LOAN-1164,0.9620891,High
LOAN-1402,0.96201146,High
LOAN-1118,0.9617785,High
LOAN-1371,0.96128035,High
LOAN-2112,0.96125597,High
LOAN-1136,0.9611355,High
LOAN-1550,0.9610117,High
LOAN-1029,0.9609765,High
LOAN-1334,0.96077895,High
LOAN-1625,0.9599438,High
LOAN-1793,0.9596978,High
LOAN-2084,0.9593311,High
LOAN-1394,0.95927143,High
LOAN-1474,0.959212,High
LOAN-2081,0.9589063,High
LOAN-2172,0.9582625,High
LOAN-2151,0.95801145,High
LOAN-1084,0.9579469,High
LOAN-2069,0.95736825,High
LOAN-1393,0.9570242,High
LOAN-1535,0.95677894,High
LOAN-1135,0.9566324,High
LOAN-1246,0.95635414,High
LOAN-1321,0.95633674,High
LOAN-1835,0.9556636,High
LOAN-1295,0.9553516,High
LOAN-1465,0.955268,High
LOAN-1122,0.9544864,High
LOAN-1540,0.95395035,High
LOAN-1939,0.9538362,High
LOAN-2105,0.953692,High
LOAN-1838,0.9535582,High
LOAN-1531,0.95275104,High
LOAN-1751,0.95190257,High
LOAN-1525,0.95132375,High
LOAN-1086,0.9503065,High
LOAN-1754,0.9502195,High
LOAN-1897,0.94971496,High
LOAN-1106,0.94916993,High
LOAN-1491,0.94909775,High
LOAN-2125,0.9490455,High
LOAN-1228,0.94854826,High
LOAN-1723,0.948484,High
LOAN-1375,0.94792795,High
LOAN-1807,0.9476284,High
LOAN-1140,0.94751734,High
LOAN-1766,0.9475064,High
LOAN-1408,0.947337,High
LOAN-1956,0.9471007,High
LOAN-2046,0.9468175,High
LOAN-1642,0.9468061,High
LOAN-2116,0.946429,High
LOAN-1253,0.94580144,High
LOAN-1183,0.9455299,High
LOAN-1606,0.9452966,High
LOAN-1138,0.9440805,High
LOAN-1492,0.9439568,High
LOAN-1845,0.94352996,High
LOAN-1337,0.94324875,High
LOAN-1356,0.94322133,High
LOAN-1996,0.9431139,High
LOAN-1818,0.942767,High
LOAN-1700,0.9423469,High
LOAN-1249,0.9415744,High
LOAN-1992,0.9411278,High
LOAN-1770,0.9409561,High
LOAN-2001,0.9398291,High
LOAN-1706,0.9393013,High
LOAN-2039,0.9391885,High
LOAN-2153,0.9391455,High
LOAN-1636,0.9387046,High
LOAN-1528,0.93822795,High
LOAN-1146,0.93822557,High
LOAN-1099,0.9378774,High
LOAN-1588,0.9376955,High
LOAN-1941,0.937087,High
LOAN-2044,0.93707234,High
LOAN-2154,0.9370373,High
LOAN-1799,0.9369391,High
LOAN-1598,0.9360139,High
LOAN-1984,0.93574816,High
LOAN-1100,0.93564683,High
LOAN-1712,0.9353958,High
LOAN-1721,0.93520963,High
LOAN-1229,0.93455523,High
LOAN-1277,0.9342508,High
LOAN-1048,0.93419266,High
LOAN-1666,0.9341057,High
LOAN-2055,0.9328131,High
LOAN-1161,0.9325572,High
LOAN-2174,0.932358,High
LOAN-1716,0.9320578,High
LOAN-1781,0.93195915,High
LOAN-1676,0.93195385,High
LOAN-1690,0.9308536,High
LOAN-1797,0.9305416,High
LOAN-2049,0.9305362,High
LOAN-1698,0.929236,High
LOAN-1178,0.9290251,High
LOAN-1713,0.9287578,High
LOAN-1119,0.9284071,High
LOAN-2032,0.92777044,High
LOAN-1841,0.92770416,High
LOAN-1072,0.9276702,High
LOAN-1580,0.9267606,High
LOAN-1010,0.92641824,High
LOAN-1934,0.9261472,High
LOAN-1957,0.926028,High
LOAN-1572,0.9253836,High
LOAN-1782,0.925303,High
LOAN-1159,0.92483145,High
LOAN-2075,0.9239988,High
LOAN-2087,0.923507,High
LOAN-1702,0.9220713,High
LOAN-1842,0.92070574,High
LOAN-1352,0.9206256,High
LOAN-1667,0.92052037,High
LOAN-1477,0.92044145,High
LOAN-1172,0.92030483,High
LOAN-1359,0.9197808,High
LOAN-1821,0.91934603,High
LOAN-2103,0.91675127,High
LOAN-1801,0.9161099,High
LOAN-1963,0.9157046,High
LOAN-1672,0.9154331,High
LOAN-1066,0.91500884,High
LOAN-1299,0.91431254,High
LOAN-1263,0.91418964,High
LOAN-1415,0.9139739,High
LOAN-1777,0.9134689,High
LOAN-1627,0.91323024,High
LOAN-1288,0.910765,High
LOAN-1796,0.9103677,High
LOAN-2152,0.9098534,High
LOAN-1687,0.90975755,High
LOAN-2088,0.9091831,High
LOAN-1120,0.90880525,High
LOAN-2171,0.9084844,High
LOAN-1324,0.9082619,High
LOAN-1860,0.90669286,High
LOAN-1020,0.90565354,High
LOAN-1483,0.90408695,High
LOAN-1427,0.90396625,High
LOAN-2168,0.90393656,High
LOAN-2071,0.9032912,High
LOAN-1671,0.9032672,High
LOAN-1413,0.90272033,High
LOAN-1364,0.9017162,High
LOAN-1281,0.901553,High
LOAN-1812,0.90134376,High
LOAN-2022,0.90122336,High
LOAN-1519,0.89930683,High
LOAN-1251,0.8975091,High
LOAN-1662,0.8973761,High
LOAN-1732,0.89703953,High
LOAN-1039,0.8968239,High
LOAN-1955,0.8962934,High
LOAN-1296,0.89625865,High
LOAN-1459,0.8952816,High
LOAN-1831,0.8952207,High
LOAN-1254,0.8931473,High
LOAN-1916,0.8903588,High
LOAN-1280,0.8900124,High
LOAN-1864,0.88984257,High
LOAN-1686,0.888055,High
LOAN-1142,0.88759285,High
LOAN-1130,0.8875842,High
LOAN-2017,0.887428,High
LOAN-1404,0.8850565,High
LOAN-1494,0.88477284,High
LOAN-1913,0.8816507,High
LOAN-1567,0.8802893,High
LOAN-1256,0.8789345,High
LOAN-2193,0.8789113,High
LOAN-1349,0.8779897,High
LOAN-1502,0.8769859,High
LOAN-1794,0.8767127,High
LOAN-1114,0.87648505,High
LOAN-1065,0.87486243,High
LOAN-1266,0.87446654,High
LOAN-2134,0.8717153,High
LOAN-1012,0.8717045,High
LOAN-2169,0.86976594,High
LOAN-1981,0.8692613,High
LOAN-1414,0.8685526,High
LOAN-1054,0.86830485,High
LOAN-1965,0.8674652,High
LOAN-2133,0.86710095,High
LOAN-1319,0.8634369,High
LOAN-1102,0.86317044,High
LOAN-1874,0.8626365,High
LOAN-1016,0.86098677,High
LOAN-2005,0.86092687,High
LOAN-1738,0.85811174,High
LOAN-1422,0.85675746,High
LOAN-1728,0.8566032,High
LOAN-2150,0.8558875,High
LOAN-2053,0.85445714,High
LOAN-1464,0.8532009,High
LOAN-2011,0.85156065,High
LOAN-1030,0.84707624,High
LOAN-1221,0.84679407,High
LOAN-2072,0.84483397,High
LOAN-1081,0.8418344,High
LOAN-2054,0.8416617,High
LOAN-1544,0.8396878,High
LOAN-1918,0.8385197,High
LOAN-1443,0.83715725,High
LOAN-1223,0.836661,High
LOAN-1201,0.8361731,High
LOAN-1715,0.8356867,High
LOAN-1258,0.83394575,High
LOAN-1586,0.830724,High
LOAN-1278,0.82614,High
LOAN-1726,0.8245251,High
LOAN-2019,0.8240363,High
LOAN-2079,0.81911504,High
LOAN-1370,0.8159073,High
LOAN-1036,0.811197,High
LOAN-1350,0.80889374,High
LOAN-1919,0.80847204,High
LOAN-1675,0.8031084,High
LOAN-1944,0.80006105,High
LOAN-1242,0.79959744,High
LOAN-1499,0.7994593,High
LOAN-2100,0.78399485,High
LOAN-1316,0.7811636,High
LOAN-2107,0.7805422,High
LOAN-1134,0.77596724,High
LOAN-1816,0.775964,High
LOAN-1450,0.7743716,High
LOAN-1512,0.7652254,High
LOAN-1064,0.763454,High
LOAN-1268,0.7416226,High
LOAN-1215,0.738546,High
LOAN-2030,0.73466927,High
LOAN-2178,0.733582,High
LOAN-1438,0.7286227,High
LOAN-2143,0.72503686,High
LOAN-1068,0.7106301,High
LOAN-1115,0.7101001,High
LOAN-1787,0.706977,High
LOAN-1267,0.70473546,High
